ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
231736_PM_x_at	0.00111	2.29e-08	-1.74e+01	7.352397	-5.54187333	MGST1	microsomal glutathione S-transferase 1
228409_PM_at	0.00111	4.04e-08	-1.63e+01	7.093156	-5.53221617	PLIN4	perilipin 4
200832_PM_s_at	0.00152	8.34e-08	-1.51e+01	6.73478	-6.41523667	SCD	stearoyl-CoA desaturase
225424_PM_at	0.00207	1.51e-07	-1.41e+01	6.416927	-5.420872	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial
209616_PM_s_at	0.00532	5.14e-07	-1.22e+01	5.698412	-5.70671133	CES1	carboxylesterase 1
229477_PM_at	0.00532	5.83e-07	-1.21e+01	5.619371	-4.2747485	THRSP	thyroid hormone responsive
239398_PM_at	0.0067	1.18e-06	-1.11e+01	5.162163	-3.6064435	KLHL31	kelch like family member 31
207057_PM_at	0.0067	1.21e-06	-1.11e+01	5.146872	-3.00966833	SLC16A7	solute carrier family 16 member 7
219140_PM_s_at	0.0067	1.23e-06	-1.11e+01	5.131201	-5.23635483	RBP4	retinol binding protein 4
216594_PM_x_at	0.0067	1.34e-06	-1.10e+01	5.07309	-4.54104167	AKR1C1	aldo-keto reductase family 1 member C1
227242_PM_s_at	0.0067	1.38e-06	-1.09e+01	5.057855	-2.17731167	EBF3	early B-cell factor 3
229476_PM_s_at	0.0067	1.47e-06	-1.09e+01	5.012372	-4.81089417	THRSP	thyroid hormone responsive
209699_PM_x_at	0.00794	1.89e-06	-1.05e+01	4.840957	-5.52444833	AKR1C2	aldo-keto reductase family 1, member C2
224918_PM_x_at	0.00899	2.30e-06	-1.03e+01	4.70196	-5.77600317	MGST1	microsomal glutathione S-transferase 1
224327_PM_s_at	0.00931	2.55e-06	-1.02e+01	4.627889	-3.34055	DGAT2	diacylglycerol O-acyltransferase 2
231672_PM_at	0.00976	2.85e-06	-1.00e+01	4.548391	-4.26460443		
228568_PM_at	0.01064	3.31e-06	-9.87	4.442042	-3.34246033	GCOM1	GRINL1A complex locus 1
222049_PM_s_at	0.01071	3.52e-06	-9.80	4.395687	-4.01203333	RBP4	retinol binding protein 4
203680_PM_at	0.01157	4.02e-06	-9.65	4.299638	-4.561818	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta
236313_PM_at	0.01225	4.50e-06	-9.52	4.215571	-3.03055957	CDKN2B	cyclin dependent kinase inhibitor 2B
201467_PM_s_at	0.01225	4.70e-06	-9.47	4.18313	-2.64858033	NQO1	NAD(P)H quinone dehydrogenase 1
211162_PM_x_at	0.01276	5.13e-06	-9.37	4.118517	-5.08757717	SCD	stearoyl-CoA desaturase
219398_PM_at	0.01285	5.61e-06	-9.27	4.051315	-5.12499883	CIDEC	cell death inducing DFFA like effector c
