Gene_Symbol,Probe_ID,logFC,P.Value,adj.P.Val,MR_Significant,MR_Pvalue,MR_Beta,MR_FDR,Matrisome_Division,Matrisome_Category
COL1A1,1556499_PM_s_at,2.98466833,8.14e-06,0.01536,False,,,,Core matrisome,Collagens
BGN,213905_PM_x_at,3.55583833,6.19e-05,0.03752,False,,,,Core matrisome,Proteoglycans
CLEC11A,211709_PM_s_at,3.07216072,7.64e-05,0.04223,False,,,,Matrisome-associated,ECM-affiliated Proteins
SERPINE2,212190_PM_at,2.73569667,7.95e-05,0.04308,False,,,,Matrisome-associated,ECM Regulators
MXRA5,209596_PM_at,2.99756167,0.000102,0.04869,False,,,,Core matrisome,ECM Glycoproteins
COL1A2,202404_PM_s_at,3.37799667,0.000121,0.05202,False,,,,Core matrisome,Collagens
CTHRC1,225681_PM_at,4.24938,0.000151,0.06106,False,,,,Core matrisome,ECM Glycoproteins
SULF2,224724_PM_at,1.738715,0.000157,0.06216,False,,,,Matrisome-associated,ECM Regulators
THSD4,222835_PM_at,1.51716,0.000182,0.06743,False,,,,Core matrisome,ECM Glycoproteins
THBS2,203083_PM_at,2.29237667,0.000343,0.09516,False,,,,Core matrisome,ECM Glycoproteins
AEBP1,201792_PM_at,2.48848833,0.000431,0.10875,False,,,,Core matrisome,ECM Glycoproteins
SNED1,1554798_PM_at,1.498445,0.000445,0.10964,False,,,,Core matrisome,ECM Glycoproteins
COL12A1,234951_PM_s_at,3.50933167,0.00064,0.14125,False,,,,Core matrisome,Collagens
VCAN,221731_PM_x_at,2.75288333,0.000701,0.14869,False,,,,Core matrisome,Proteoglycans
COL3A1,201852_PM_x_at,2.83916,0.00084,0.16688,False,,,,Core matrisome,Collagens
COL5A2,221730_PM_at,2.83665667,0.00101,0.18887,False,,,,Core matrisome,Collagens
ISM1,235182_PM_at,1.89909017,0.00118,0.20263,False,,,,Matrisome-associated,Secreted Factors
COL5A1,212488_PM_at,3.44077333,0.0014,0.2175,False,,,,Core matrisome,Collagens
MUC1,213693_PM_s_at,1.56945833,0.00281,0.31076,False,,,,Matrisome-associated,ECM-affiliated Proteins
