Gene Symbol,Gene Name,Matrisome Division,Matrisome Category,logFC,Direction,P.Value,adj.P.Val,FDR_Significant (<0.05),Probe ID
COL1A1,"collagen, type I, alpha 1",Core matrisome,Collagens,2.98466833,UP,8.14e-06,0.01536,YES,1556499_PM_s_at
TIMP4,TIMP metallopeptidase inhibitor 4,Matrisome-associated,ECM Regulators,-3.7942565,DOWN,3.05e-05,0.02779,YES,206243_PM_at
LEP,leptin,Matrisome-associated,Secreted Factors,-5.71734833,DOWN,3.9e-05,0.03096,YES,207092_PM_at
BGN,biglycan,Core matrisome,Proteoglycans,3.55583833,UP,6.19e-05,0.03752,YES,213905_PM_x_at
CLEC11A,"C-type lectin domain family 11, member A",Matrisome-associated,ECM-affiliated Proteins,3.07216072,UP,7.64e-05,0.04223,YES,211709_PM_s_at
SERPINE2,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2",Matrisome-associated,ECM Regulators,2.73569667,UP,7.95e-05,0.04308,YES,212190_PM_at
MXRA5,matrix-remodelling associated 5,Core matrisome,ECM Glycoproteins,2.99756167,UP,0.000102,0.04869,YES,209596_PM_at
COL1A2,"collagen, type I, alpha 2",Core matrisome,Collagens,3.37799667,UP,0.000121,0.05202,NO,202404_PM_s_at
CTHRC1,collagen triple helix repeat containing 1,Core matrisome,ECM Glycoproteins,4.24938,UP,0.000151,0.06106,NO,225681_PM_at
S100B,S100 calcium binding protein B,Matrisome-associated,Secreted Factors,-1.97702167,DOWN,0.000154,0.06141,NO,209686_PM_at
SULF2,sulfatase 2,Matrisome-associated,ECM Regulators,1.738715,UP,0.000157,0.06216,NO,224724_PM_at
THSD4,"thrombospondin, type I, domain containing 4",Core matrisome,ECM Glycoproteins,1.51716,UP,0.000182,0.06743,NO,222835_PM_at
WNT11,"wingless-type MMTV integration site family, member 11",Matrisome-associated,Secreted Factors,-1.99553833,DOWN,0.000199,0.07219,NO,206737_PM_at
FGF2,fibroblast growth factor 2 (basic),Matrisome-associated,Secreted Factors,-1.63036433,DOWN,0.000239,0.07829,NO,204422_PM_s_at
LAMA4,"laminin, alpha 4",Core matrisome,ECM Glycoproteins,-2.25678667,DOWN,0.000249,0.07975,NO,216081_PM_at
ADAMTSL3,ADAMTS-like 3,Matrisome-associated,ECM Regulators,-2.56882083,DOWN,0.000278,0.08489,NO,213974_PM_at
CRELD1,cysteine-rich with EGF-like domains 1,Core matrisome,ECM Glycoproteins,-1.26197,DOWN,0.000295,0.08869,NO,203368_PM_at
ITIH5,inter-alpha (globulin) inhibitor H5,Matrisome-associated,ECM Regulators,-2.34209167,DOWN,0.000333,0.09458,NO,219064_PM_at
THBS2,thrombospondin 2,Core matrisome,ECM Glycoproteins,2.29237667,UP,0.000343,0.09516,NO,203083_PM_at
ADIPOQ,"adiponectin, C1Q and collagen domain containing",Core matrisome,ECM Glycoproteins,-5.657775,DOWN,0.000413,0.10699,NO,207175_PM_at
AEBP1,AE binding protein 1,Core matrisome,ECM Glycoproteins,2.48848833,UP,0.000431,0.10875,NO,201792_PM_at
SNED1,"sushi, nidogen and EGF-like domains 1",Core matrisome,ECM Glycoproteins,1.498445,UP,0.000445,0.10964,NO,1554798_PM_at
GPC3,glypican 3,Matrisome-associated,ECM-affiliated Proteins,-1.999855,DOWN,0.000497,0.11825,NO,209220_PM_at
COL12A1,"collagen, type XII, alpha 1",Core matrisome,Collagens,3.50933167,UP,0.00064,0.14125,NO,234951_PM_s_at
VCAN,versican,Core matrisome,Proteoglycans,2.75288333,UP,0.000701,0.14869,NO,221731_PM_x_at
COL3A1,"collagen, type III, alpha 1",Core matrisome,Collagens,2.83916,UP,0.00084,0.16688,NO,201852_PM_x_at
COL5A2,"collagen, type V, alpha 2",Core matrisome,Collagens,2.83665667,UP,0.00101,0.18887,NO,221730_PM_at
ISM1,isthmin 1 homolog (zebrafish),Matrisome-associated,Secreted Factors,1.89909017,UP,0.00118,0.20263,NO,235182_PM_at
COL5A1,"collagen, type V, alpha 1",Core matrisome,Collagens,3.44077333,UP,0.0014,0.2175,NO,212488_PM_at
NTN4,netrin 4,Core matrisome,ECM Glycoproteins,-1.32911283,DOWN,0.00176,0.25042,NO,223315_PM_at
C17ORF58,chromosome 17 open reading frame 58,Matrisome-associated,ECM Regulators,-1.90235717,DOWN,0.00183,0.25209,NO,226901_PM_at
SEMA3G,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G",Matrisome-associated,ECM-affiliated Proteins,-3.2923,DOWN,0.00192,0.25694,NO,219689_PM_at
PCSK5,proprotein convertase subtilisin/kexin type 5,Matrisome-associated,ECM Regulators,-1.07710833,DOWN,0.00214,0.26638,NO,205560_PM_at
PCOLCE2,procollagen C-endopeptidase enhancer 2,Core matrisome,ECM Glycoproteins,-4.62012833,DOWN,0.00229,0.27819,NO,219295_PM_s_at
FIGF,c-fos induced growth factor (vascular endothelial growth factor D),Matrisome-associated,Secreted Factors,-2.892596,DOWN,0.00261,0.30153,NO,206742_PM_at
ITLN1,intelectin 1 (galactofuranose binding),Matrisome-associated,ECM-affiliated Proteins,-6.39461483,DOWN,0.00263,0.30203,NO,223597_PM_at
MUC1,"mucin 1, cell surface associated",Matrisome-associated,ECM-affiliated Proteins,1.56945833,UP,0.00281,0.31076,NO,213693_PM_s_at
CLEC3B,"C-type lectin domain family 3, member B",Matrisome-associated,ECM-affiliated Proteins,-1.90583267,DOWN,0.00309,0.32706,NO,205200_PM_at
COMP,cartilage oligomeric matrix protein,Core matrisome,ECM Glycoproteins,4.07950533,UP,0.00335,0.33844,NO,205713_PM_s_at
CHRDL1,chordin-like 1,Matrisome-associated,Secreted Factors,-3.2143,DOWN,0.00355,0.34135,NO,209763_PM_at
PAMR1,peptidase domain containing associated with muscle regeneration 1,Matrisome-associated,ECM Regulators,-1.4336215,DOWN,0.00355,0.34135,NO,213661_PM_at
ECM2,"extracellular matrix protein 2, female organ and adipocyte specific",Core matrisome,ECM Glycoproteins,-1.315845,DOWN,0.00371,0.34902,NO,206101_PM_at
TNC,tenascin C,Core matrisome,ECM Glycoproteins,3.391885,UP,0.00371,0.34902,NO,201645_PM_at
ANXA3,annexin A3,Matrisome-associated,ECM-affiliated Proteins,-1.807643,DOWN,0.00448,0.37414,NO,209369_PM_at
CRHBP,corticotropin releasing hormone binding protein,Matrisome-associated,Secreted Factors,-1.3207815,DOWN,0.00457,0.37593,NO,205984_PM_at
MMP28,matrix metallopeptidase 28,Matrisome-associated,ECM Regulators,-1.21676267,DOWN,0.0048,0.39007,NO,239272_PM_at
COL6A3,"collagen, type VI, alpha 3",Core matrisome,Collagens,1.11747333,UP,0.0049,0.39466,NO,201438_PM_at
PDGFA,platelet-derived growth factor alpha polypeptide,Matrisome-associated,Secreted Factors,1.43189167,UP,0.00496,0.39812,NO,216867_PM_s_at
FN1,fibronectin 1,Core matrisome,ECM Glycoproteins,1.93177567,UP,0.00526,0.41042,NO,214702_PM_at
SFRP2,secreted frizzled-related protein 2,Matrisome-associated,Secreted Factors,2.53317167,UP,0.00584,0.42805,NO,223121_PM_s_at
