ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Gene_clean,Matrisome Division,Matrisome Category,Gene Name
1556499_PM_s_at,0.01536,8.14e-06,8.87,3.767901,2.98466833,COL1A1,collagen type I alpha 1 chain,COL1A1,Core matrisome,Collagens,"collagen, type I, alpha 1"
206243_PM_at,0.02779,3.05e-05,-7.55,2.711832,-3.7942565,TIMP4,TIMP metallopeptidase inhibitor 4,TIMP4,Matrisome-associated,ECM Regulators,TIMP metallopeptidase inhibitor 4
207092_PM_at,0.03096,3.9e-05,-7.33,2.50776,-5.71734833,LEP,leptin,LEP,Matrisome-associated,Secreted Factors,leptin
213905_PM_x_at,0.03752,6.19e-05,6.91,2.115992,3.55583833,BGN,biglycan,BGN,Core matrisome,Proteoglycans,biglycan
211709_PM_s_at,0.04223,7.64e-05,6.73,1.934889,3.07216072,CLEC11A,C-type lectin domain family 11 member A,CLEC11A,Matrisome-associated,ECM-affiliated Proteins,"C-type lectin domain family 11, member A"
212190_PM_at,0.04308,7.95e-05,6.69,1.900394,2.73569667,SERPINE2,serpin family E member 2,SERPINE2,Matrisome-associated,ECM Regulators,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2"
209596_PM_at,0.04869,0.000102,6.48,1.686868,2.99756167,MXRA5,matrix remodeling associated 5,MXRA5,Core matrisome,ECM Glycoproteins,matrix-remodelling associated 5
202404_PM_s_at,0.05202,0.000121,6.33,1.531618,3.37799667,COL1A2,collagen type I alpha 2 chain,COL1A2,Core matrisome,Collagens,"collagen, type I, alpha 2"
225681_PM_at,0.06106,0.000151,6.16,1.341942,4.24938,CTHRC1,collagen triple helix repeat containing 1,CTHRC1,Core matrisome,ECM Glycoproteins,collagen triple helix repeat containing 1
209686_PM_at,0.06141,0.000154,-6.14,1.324619,-1.97702167,S100B,S100 calcium binding protein B,S100B,Matrisome-associated,Secreted Factors,S100 calcium binding protein B
224724_PM_at,0.06216,0.000157,6.13,1.306718,1.738715,SULF2,sulfatase 2,SULF2,Matrisome-associated,ECM Regulators,sulfatase 2
222835_PM_at,0.06743,0.000182,6.0,1.172329,1.51716,THSD4,thrombospondin type 1 domain containing 4,THSD4,Core matrisome,ECM Glycoproteins,"thrombospondin, type I, domain containing 4"
206737_PM_at,0.07219,0.000199,-5.93,1.094166,-1.99553833,WNT11,Wnt family member 11,WNT11,Matrisome-associated,Secreted Factors,"wingless-type MMTV integration site family, member 11"
