"","GSM1536406","GSM1536407","GSM1536408","GSM1536409","GSM1536410","GSM1536411","GSM1536412","GSM1536413"
"A1BG",0.844603,0.264701,0.55116,0.527007,0.656539,0.485786,0.495401,0.80164
"A1CF",0.289765,0.331256,0.354812,0.546886,0.453063,0.283132,0.540526,0.444638
"A2BP1",1.69979,1.69979,1.02995,1.50245,2.4626,1.85978,1.2552,1.24632
"A2LD1",0.534651,0.50923,0.848605,0.871332,1.54814,0.220266,0.645111,0.782171
"A2M",7.21436,8.83744,7.64842,7.22917,6.04112,7.8866,8.11051,8.96258
"A2ML1",0.812207,0.819211,0.443126,0.457145,1.05499,1.97331,0.603885,0.3865
"A4GALT",2.30815,2.47043,2.40437,2.12382,2.13713,1.38126,2.3577,2.48972
"A4GNT",0.164812,-0.0247008,0.395773,0.392429,0.555833,0.517319,0.0794695,0.364067
"AAA1",1.62605,0.367338,0.871726,0.402661,2.33647,0.779862,0.779144,0.893875
"AAAS",2.25048,2.03543,1.56729,1.94264,1.59558,1.57725,1.61117,1.63212
"AACS",1.09238,1.72568,1.85322,1.7329,1.62534,1.97326,2.71058,1.94165
"AACSL",2.27935,2.57064,2.0986,2.19416,3.00464,2.15294,2.00153,1.99461
"AADAC",1.30241,0.571823,0.890334,1.59177,1.8594,1.16286,1.56637,1.63752
"AADACL2",0.618665,0.616049,0.513617,0.806152,1.19933,1.10471,0.493341,1.10289
"AADAT",1.41253,1.65577,1.56923,1.44076,3.02704,0.752337,1.79222,1.52247
"AAGAB",1.20498,1.21987,1.32786,1.03667,1.12419,1.11588,1.82872,1.02549
"AAK1",4.26441,5.39307,5.31945,2.93163,1.13972,5.0742,4.51722,4.60552
"AAMP",1.5459,1.51775,1.13406,1.73365,1.60658,1.42093,1.7736,1.75584
"AANAT",0.555292,0.3321,0.0734421,0.541979,0.433396,0.563956,0.651123,0.353786
"AARS",3.62176,4.86096,4.23415,3.53504,4.11846,4.74981,4.4978,4.52367
"AARS2",3.08331,2.41503,2.4626,2.63602,2.52135,2.37778,2.48016,2.53508
"AARSD1",1.39461,1.57362,1.591,1.06231,1.71533,2.37466,1.35147,1.75584
"AASDH",1.8143,2.20598,1.49828,2.03388,1.33159,2.34677,2.23017,2.36771
"AASDHPPT",2.93277,3.95328,3.59597,3.11359,4.66346,4.06554,3.51033,4.2713
"AASS",4.01054,4.27335,4.41735,4.12349,4.05876,4.2562,4.91023,4.32677
"AATF",2.96263,2.98631,3.10303,2.06177,1.49579,2.03483,2.54881,2.80018
"AATK",3.20341,1.54706,1.40444,1.91434,1.80998,2.11484,1.83952,2.58873
"ABAT",1.43493,1.41565,0.79165,0.632313,0.949567,1.5968,1.04125,1.88831
"ABCA1",3.26433,4.24027,4.55426,3.6715,2.58052,3.58061,5.25201,3.81549
"ABCA11P",0.370712,0.245321,0.41929,0.360052,0.0782525,1.5968,1.00457,0.88795
"ABCA12",0.459907,0.370712,0.377707,0.495097,0.351991,0.438568,0.255632,0.262862
"ABCA13",0.255965,-0.320016,-0.258799,1.20414,0.786802,0.522451,0.144631,0.155932
"ABCA17P",0.430147,-0.049084,0.0171109,0.632313,0.338516,0.152491,0.170984,0.131962
"ABCA2",2.06396,1.38136,1.71322,1.57349,2.6855,1.59808,0.410024,1.64026
"ABCA3",1.98216,1.97757,2.26456,2.24377,1.38534,1.6168,1.97383,3.11939
"ABCA4",0.732246,0.853823,0.741553,1.09875,0.813391,1.00552,0.941372,0.645918
"ABCA5",1.23084,1.91472,1.2847,1.69969,1.66176,2.38989,3.9572,1.7163
"ABCA6",4.2176,4.20518,3.60965,2.98788,3.65447,2.39484,6.5121,4.898
"ABCA7",1.40302,1.20051,1.44458,1.29612,1.4038,1.43039,0.901527,2.15307
"ABCA8",1.20504,2.78707,1.75584,2.92576,1.48463,5.32232,5.64468,5.25062
"ABCA9",2.69663,3.29764,3.34708,2.91013,2.66419,3.79123,6.00225,4.65603
"ABCB1",2.18221,1.75584,1.74391,1.33335,1.94773,2.1603,2.11501,2.19224
"ABCB10",0.717276,1.2193,1.04096,0.660423,1.27895,1.09994,1.67251,1.61828
"ABCB11",0.341161,0.616224,0.436596,0.254273,0.283335,0.341161,0.369715,0.283335
"ABCB4",2.18221,1.75584,1.74391,1.33335,1.94773,2.1603,2.11501,2.19224
"ABCB5",1.8859,2.31352,1.33953,1.67612,3.13353,1.95991,0.922887,1.63609
"ABCB6",2.01116,1.93647,2.33366,2.55711,1.49102,2.3416,1.15444,2.05985
"ABCB7",3.22292,3.55788,3.20785,1.58814,3.05861,3.13977,3.64003,2.11172
"ABCB8",1.84016,1.65383,2.08639,1.15989,1.4405,2.3609,1.03673,1.46894
"ABCB9",1.88936,1.83103,1.49766,2.3238,2.23543,2.843,1.41104,2.04256
"ABCC1",5.52611,5.31406,5.50431,4.54191,2.79562,4.29099,4.75789,4.95974
"ABCC10",2.51816,1.67411,1.38313,1.97843,1.75062,1.30029,1.65456,1.8647
"ABCC11",0.368455,0.703359,0.462043,0.512324,1.02903,1.03791,0.506361,0.60048
"ABCC12",0.493361,0.1074,0.48353,1.43218,1.35413,0.335054,0.559613,0.572943
"ABCC13",0.534679,0.448757,0.378915,1.44138,0.996599,1.0201,0.66463,0.78217
"ABCC2",0.954052,0.813718,1.01712,1.67835,0.871726,1.14812,1.30593,0.910807
"ABCC3",2.30501,3.94803,2.7144,3.0042,2.71562,4.90541,2.45156,4.1398
"ABCC4",2.34496,3.27116,3.85135,2.43808,1.39798,2.88792,2.11211,2.12245
"ABCC5",1.9229,3.13204,2.61707,2.04056,2.33647,2.16986,2.22075,2.43327
"ABCC6",0.605051,0.642636,0.616616,0.199252,0.806945,1.16286,0.663258,0.480793
"ABCC6P1",0.25328,0.161937,-0.0239965,0.62576,0.467942,0.0588935,-0.0306036,0.367879
"ABCC6P2",0.182434,0.305765,0.266243,0.208912,0.285486,0.106885,0.369715,0.295116
"ABCC8",2.30945,2.80429,2.18367,2.0781,2.24948,2.63585,1.8468,2.55666
"ABCC9",3.27437,3.68841,3.41004,3.53171,3.97809,2.6869,3.16238,3.19831
"ABCD1",1.64894,0.885291,0.731442,0.365535,1.16775,0.673873,1.03482,0.552403
"ABCD2",0.365014,-0.0615956,0.00584289,0.266486,0.367247,0.700135,0.912582,0.475491
"ABCD3",2.4375,3.36746,2.72377,2.51059,2.21985,3.12941,3.88322,3.30303
"ABCD4",0.796856,2.88434,1.93702,0.664384,2.21224,2.73285,2.60928,2.56046
"ABCE1",3.83132,4.22892,4.17197,4.57214,3.36801,4.32973,4.29655,4.28524
"ABCF1",3.67671,4.26897,4.24105,3.57049,2.72896,2.53917,4.15627,3.68528
"ABCF2",3.394,3.58764,4.22905,2.15441,3.15185,2.81261,3.42157,2.85455
"ABCF3",1.85316,2.04727,2.1685,1.65972,2.37925,2.78081,2.75139,2.21113
"ABCG1",2.10125,3.3225,2.51251,2.32444,1.15463,1.1909,1.29283,1.75843
"ABCG2",1.39529,1.6918,1.50286,1.73233,0.573538,1.41225,1.22502,1.40529
"ABCG4",0.982347,0.325592,0.706308,0.413665,0.978618,0.639542,0.262118,0.691149
"ABCG5",0.655252,0.737028,0.406639,0.425882,0.313501,0.198494,0.589153,0.568742
"ABCG8",0.515165,0.682234,0.390748,0.632313,0.606673,1.02161,0.32751,1.22532
"ABHD1",0.421968,0.612019,0.36932,0.838359,0.871726,0.857884,0.903741,0.700243
"ABHD10",2.26662,3.21303,2.93724,3.1701,1.30751,3.68911,2.9992,3.463
"ABHD11",2.02716,1.42864,2.04436,1.88889,2.41809,1.88162,1.77959,2.13646
"ABHD12",2.69688,2.23789,2.08414,1.43218,1.6387,1.91292,2.15953,2.14855
"ABHD12B",0.722103,0.610003,0.62848,1.323,0.864228,0.723543,0.777321,0.690673
"ABHD13",0.631742,0.497649,0.833023,1.37189,1.15221,0.99825,0.889048,0.313382
"ABHD14A",1.42277,1.48097,1.41068,0.785676,1.04243,1.22881,1.65006,1.93727
"ABHD14B",2.5706,1.57625,2.56585,0.953535,0.111273,1.18941,3.85568,2.83227
"ABHD15",0.14039,0.343694,0.595578,0.167912,0.306808,1.5968,0.894428,1.23162
"ABHD2",4.31711,4.87824,5.00667,4.65214,2.93712,5.06975,4.15627,4.68364
"ABHD3",0.433381,0.486967,0.267232,0.419299,0.370736,0.200602,0.958064,0.373597
"ABHD4",2.45982,2.63151,1.9922,2.51275,2.38588,2.7338,2.45095,2.0244
"ABHD5",2.05863,2.47122,4.28985,2.66818,2.88385,2.90751,4.57785,2.96329
"ABHD6",1.58524,2.17922,1.88395,1.96187,1.03287,1.84639,2.4349,2.57646
"ABHD8",0.779862,0.707431,0.914734,1.25795,0.871726,0.759118,0.563474,1.20965
"ABI1",3.6954,5.28437,5.28807,4.0815,4.04025,5.07117,4.30735,4.61917
"ABI2",4.97699,5.86354,5.769,5.2304,4.74781,4.99241,5.08517,5.26741
"ABI3",1.79697,1.97021,2.28532,1.64372,1.33109,1.97012,1.84423,1.76505
"ABI3BP",3.90597,4.56787,3.57574,2.65166,3.281,4.83264,2.81183,3.94331
"ABL1",3.14777,2.55353,2.48929,2.3291,2.45724,1.94428,2.75139,2.58474
"ABL2",4.67201,2.76695,4.5835,2.79869,1.04492,2.81976,1.40905,1.56023
"ABLIM1",4.50029,4.6762,4.4631,4.85669,3.78464,4.90582,5.89567,5.94612
"ABLIM2",3.39613,3.62427,3.02784,2.9042,2.03495,2.87301,1.83679,1.91669
"ABLIM3",4.31967,4.00574,3.44441,1.68765,1.92707,2.80956,5.76159,4.04776
"ABO",5.25841,5.17511,4.16175,5.24396,5.90389,5.03295,4.65996,6.00857
"ABP1",0.866057,0.557071,0.843463,0.705687,0.755475,0.663611,0.402759,0.719
"ABR",3.61934,3.70199,3.33299,3.55155,3.44842,4.20578,3.80188,3.8106
"ABRA",0.353396,0.249906,0.392539,1.62118,0.276372,0.470747,0.111202,0.661908
"ABT1",1.10852,1.1374,0.587244,1.51743,1.04765,0.524595,0.66463,0.926276
"ABTB1",2.06159,1.78258,1.87007,2.54156,2.63442,1.02267,1.85206,1.99682
"ABTB2",1.12711,1.95429,1.13749,0.719175,0.846805,1.55152,1.10268,1.08885
"ACAA1",3.78057,3.81208,3.49293,3.3872,3.1675,2.88704,4.286,4.08803
"ACAA2",5.09602,5.51948,5.63811,4.85461,4.33476,5.60432,7.28362,6.4869
