GeneSymbol,Direction,Peritoneal_logFC,Peritoneal_Pval,TWMR_Beta,TWMR_Pval,TWMR_FDR,LASSO_Selected,LASSO_Score,SVMRFE_Selected,SVMRFE_Score,RandomForest_Selected,RandomForest_Score,XGBoost_Selected,XGBoost_Score,Consensus_Votes,Is_Hub_Gene
P4HA2,UP,1.21846333,0.0387,-0.0176070271747432,2.370737162138425e-09,3.613960429916704e-07,1,0.4979948779048521,1,1.0,1,0.11280189070933538,0,0.0,3,YES
ADAMTS1,UP,1.67115167,0.0453,0.0034935920182081,0.0228513750525649,0.197980526631214,1,0.06286101301006197,1,1.0,1,0.0996940372393089,0,0.0,3,YES
WNT11,DOWN,-1.99553833,0.000199,0.006022305331303,0.0050396691824359,0.0733910106357189,0,0.0,1,1.0,0,0.04920698795950306,1,1.0,2,YES
TNC,UP,3.391885,0.00371,-0.0180269256915365,0.0492026352406946,0.3129980808420302,0,0.0,1,1.0,1,0.0928545878445275,0,0.0,2,YES
CRISPLD2,UP,2.78338833,0.00654,-0.0014289235897875,0.0539501043957131,0.3255115687695139,0,0.0,0,0.3333333333333333,1,0.0800207594774999,0,0.0,1,NO
LTBP4,DOWN,-0.81071,0.021,0.0032701560974739,0.027556141685737,0.2236799463850546,0,0.0,1,1.0,0,0.060072179106384335,0,0.0,1,NO
IGFBP3,DOWN,-1.07637167,0.0269,0.0040706713216718,0.0010784444275606,0.0233935151545013,0,0.0,0,0.5,1,0.09069017278272812,0,0.0,1,NO
SPON2,UP,1.45533,0.0305,0.0040816819941551,0.0539916021755888,0.3255115687695139,0,0.0,0,0.125,1,0.10013349940915331,0,0.0,1,NO
BMP6,DOWN,-1.48332,0.0352,-0.0101982564290781,0.0004785763337153,0.0129079640034145,0,0.0,1,1.0,0,0.06306793139791127,0,0.0,1,NO
AMH,DOWN,-0.602321,0.0475,0.0033297046347184,0.0191338043950395,0.1777249552144122,0,0.0,1,1.0,0,0.023606719683178432,0,0.0,1,NO
CRHBP,DOWN,-1.3207815,0.00457,-0.024695919514165,0.0071425289922131,0.0925961308105695,0,0.0,0,0.2,0,0.04128900386445656,0,0.0,0,NO
FGL2,DOWN,-1.46849833,0.00684,0.0050588494972083,0.0293549903112044,0.231711903524958,0,0.0,0,0.25,0,0.051195745903995386,0,0.0,0,NO
FBLN5,DOWN,-1.481305,0.00948,-0.001330103151499,0.0663607268894264,0.3644289332077469,0,0.0,0,0.16666666666666666,0,0.041547698891763275,0,0.0,0,NO
ADAM28,UP,0.61917133,0.024,-0.0040449411748323,0.0312356416233741,0.240617256010192,0,0.0,0,0.1111111111111111,0,0.039807096547539195,0,0.0,0,NO
COL4A2,DOWN,-0.90801,0.0286,0.0152935806111948,0.0228427553988259,0.197980526631214,0,0.0,0,0.14285714285714285,0,0.054011689182715324,0,0.0,0,NO
