Gene_Symbol,Module_Color,WGCNA_MM,WGCNA_GS,Peritoneal_logFC,Peritoneal_Pval,Peritoneal_adjPval,Matrisome_Division,Matrisome_Category,LASSO_Selected,LASSO_Score,SVMRFE_Selected,SVMRFE_Score,RandomForest_Selected,RandomForest_Score,XGBoost_Selected,XGBoost_Score,Votes,Selecting_Models,Is_Hub_Gene
ISM1,salmon,0.704486736295274,0.90282584322906,1.89909017,0.00118,0.20263,Matrisome-associated,Secreted Factors,1,0.855763867793964,1,1.0,1,0.0482897384305835,0,0.0,3,LASSO + SVM-RFE + RF,YES
FN1,salmon,0.920276472250275,0.951635333555649,1.93177567,0.00526,0.41042,Core matrisome,ECM Glycoproteins,1,2.985426193245784,1,1.0,1,0.03822937625754527,0,0.0,3,LASSO + SVM-RFE + RF,YES
EDIL3,salmon,0.987091332392422,0.825866643376209,2.50904,0.00851,0.50937,Core matrisome,ECM Glycoproteins,0,0.0,1,1.0,1,0.03219315895372234,1,1.0,3,SVM-RFE + RF + XGBoost,YES
VCAN,salmon,0.876500286320119,0.848809643442862,2.75288333,0.000701,0.14869,Core matrisome,Proteoglycans,0,0.0,1,1.0,1,0.03420523138832998,0,0.0,2,SVM-RFE + RF,YES
COL3A1,salmon,0.813003167749803,0.887833296442381,2.83916,0.00084,0.16688,Core matrisome,Collagens,0,0.0,1,1.0,1,0.056338028169014086,0,0.0,2,SVM-RFE + RF,YES
COMP,salmon,0.752856221258999,0.863959995838837,4.07950533,0.00335,0.33844,Core matrisome,ECM Glycoproteins,0,0.0,1,1.0,1,0.04708249496981891,0,0.0,2,SVM-RFE + RF,YES
COL8A1,salmon,0.884895533386569,0.871369917450581,2.68166667,0.00742,0.47534,Core matrisome,Collagens,0,0.0,1,1.0,1,0.03219315895372234,0,0.0,2,SVM-RFE + RF,YES
THBS3,salmon,0.762937870396578,0.833890335948442,1.15780833,0.00815,0.49792,Core matrisome,ECM Glycoproteins,0,0.0,1,1.0,1,0.04024144869215292,0,0.0,2,SVM-RFE + RF,YES
COL11A1,salmon,0.901226098363912,0.867015278299368,3.78661098,0.00898,0.52104,Core matrisome,Collagens,0,0.0,1,1.0,1,0.05030181086519115,0,0.0,2,SVM-RFE + RF,YES
INHBA,salmon,0.9063469280069,0.878333126825616,2.517965,0.017,0.66137,Matrisome-associated,Secreted Factors,0,0.0,1,1.0,1,0.03621730382293763,0,0.0,2,SVM-RFE + RF,YES
LOX,salmon,0.736105143703914,0.822718144283713,2.16197,0.0331,0.82192,Matrisome-associated,ECM Regulators,0,0.0,1,1.0,1,0.04627766599597585,0,0.0,2,SVM-RFE + RF,YES
