Gene_Symbol,Module_Color,WGCNA_MM,WGCNA_GS,Peritoneal_logFC,Peritoneal_Pval,Peritoneal_adjPval,Matrisome_Division,Matrisome_Category,LASSO_Selected,LASSO_Score,SVMRFE_Selected,SVMRFE_Score,RandomForest_Selected,RandomForest_Score,XGBoost_Selected,XGBoost_Score,Votes,Selecting_Models,Is_Hub_Gene
ISM1,salmon,0.704486736295274,0.90282584322906,1.89909017,0.00118,0.20263,Matrisome-associated,Secreted Factors,1,0.855763867793964,1,1.0,1,0.0482897384305835,0,0.0,3,LASSO + SVM-RFE + RF,YES
FN1,salmon,0.920276472250275,0.951635333555649,1.93177567,0.00526,0.41042,Core matrisome,ECM Glycoproteins,1,2.985426193245784,1,1.0,1,0.03822937625754527,0,0.0,3,LASSO + SVM-RFE + RF,YES
EDIL3,salmon,0.987091332392422,0.825866643376209,2.50904,0.00851,0.50937,Core matrisome,ECM Glycoproteins,0,0.0,1,1.0,1,0.03219315895372234,1,1.0,3,SVM-RFE + RF + XGBoost,YES
VCAN,salmon,0.876500286320119,0.848809643442862,2.75288333,0.000701,0.14869,Core matrisome,Proteoglycans,0,0.0,1,1.0,1,0.03420523138832998,0,0.0,2,SVM-RFE + RF,YES
COL3A1,salmon,0.813003167749803,0.887833296442381,2.83916,0.00084,0.16688,Core matrisome,Collagens,0,0.0,1,1.0,1,0.056338028169014086,0,0.0,2,SVM-RFE + RF,YES
COMP,salmon,0.752856221258999,0.863959995838837,4.07950533,0.00335,0.33844,Core matrisome,ECM Glycoproteins,0,0.0,1,1.0,1,0.04708249496981891,0,0.0,2,SVM-RFE + RF,YES
COL8A1,salmon,0.884895533386569,0.871369917450581,2.68166667,0.00742,0.47534,Core matrisome,Collagens,0,0.0,1,1.0,1,0.03219315895372234,0,0.0,2,SVM-RFE + RF,YES
THBS3,salmon,0.762937870396578,0.833890335948442,1.15780833,0.00815,0.49792,Core matrisome,ECM Glycoproteins,0,0.0,1,1.0,1,0.04024144869215292,0,0.0,2,SVM-RFE + RF,YES
COL11A1,salmon,0.901226098363912,0.867015278299368,3.78661098,0.00898,0.52104,Core matrisome,Collagens,0,0.0,1,1.0,1,0.05030181086519115,0,0.0,2,SVM-RFE + RF,YES
INHBA,salmon,0.9063469280069,0.878333126825616,2.517965,0.017,0.66137,Matrisome-associated,Secreted Factors,0,0.0,1,1.0,1,0.03621730382293763,0,0.0,2,SVM-RFE + RF,YES
LOX,salmon,0.736105143703914,0.822718144283713,2.16197,0.0331,0.82192,Matrisome-associated,ECM Regulators,0,0.0,1,1.0,1,0.04627766599597585,0,0.0,2,SVM-RFE + RF,YES
MXRA5,salmon,0.70214884849251,0.791565681202357,2.99756167,0.000102,0.04869,Core matrisome,ECM Glycoproteins,0,0.0,0,0.3333333333333333,1,0.03420523138832998,0,0.0,1,RF,NO
COL1A2,salmon,0.690171104699821,0.776910933078911,3.37799667,0.000121,0.05202,Core matrisome,Collagens,0,0.0,0,0.25,1,0.0482897384305835,0,0.0,1,RF,NO
SNED1,salmon,0.44034278434427,0.351820600390692,1.498445,0.000445,0.10964,Core matrisome,ECM Glycoproteins,0,0.0,1,1.0,0,0.006036217303822937,0,0.0,1,SVM-RFE,NO
COL5A2,salmon,0.779175896737102,0.843268278939359,2.83665667,0.00101,0.18887,Core matrisome,Collagens,0,0.0,0,0.16666666666666666,1,0.03219315895372234,0,0.0,1,RF,NO
COL5A1,salmon,0.836545852000552,0.857679128543423,3.44077333,0.0014,0.2175,Core matrisome,Collagens,0,0.0,0,0.5,1,0.0482897384305835,0,0.0,1,RF,NO
PDGFA,salmon,0.75020925125093,0.746110647043633,1.43189167,0.00496,0.39812,Matrisome-associated,Secreted Factors,0,0.0,0,0.08333333333333333,1,0.028169014084507043,0,0.0,1,RF,NO
TNFAIP6,salmon,0.620150674386134,0.3422960102389,1.64126833,0.0106,0.55359,Core matrisome,ECM Glycoproteins,0,0.0,1,1.0,0,0.004024144869215292,0,0.0,1,SVM-RFE,NO
PCOLCE,salmon,0.707996716959878,0.731169165981723,1.56403167,0.0119,0.58394,Core matrisome,ECM Glycoproteins,0,0.0,0,0.2,1,0.0482897384305835,0,0.0,1,RF,NO
POSTN,salmon,0.870098964777907,0.814130275120767,2.25361667,0.0423,0.86756,Core matrisome,ECM Glycoproteins,0,0.0,1,1.0,0,0.018108651911468814,0,0.0,1,SVM-RFE,NO
COL1A1,salmon,0.519460432143362,0.595912832861606,2.98466833,8.14e-06,0.01536,Core matrisome,Collagens,0,0.0,0,0.041666666666666664,0,0.014084507042253521,0,0.0,0,None,NO
BGN,salmon,0.663825668521035,0.722407996348686,3.55583833,6.19e-05,0.03752,Core matrisome,Proteoglycans,0,0.0,0,0.125,0,0.02012072434607646,0,0.0,0,None,NO
CLEC11A,salmon,0.592638725589761,0.61946902025407,3.07216072,7.64e-05,0.04223,Matrisome-associated,ECM-affiliated Proteins,0,0.0,0,0.047619047619047616,0,0.014084507042253521,0,0.0,0,None,NO
SERPINE2,salmon,0.49180415410132,0.62833798376491,2.73569667,7.95e-05,0.04308,Matrisome-associated,ECM Regulators,0,0.0,0,0.1111111111111111,0,0.01609657947686117,0,0.0,0,None,NO
SULF2,salmon,0.562049275701753,0.629793082049523,1.738715,0.000157,0.06216,Matrisome-associated,ECM Regulators,0,0.0,0,0.05263157894736842,0,0.01609657947686117,0,0.0,0,None,NO
THSD4,salmon,0.332369577322716,0.55482115855799,1.51716,0.000182,0.06743,Core matrisome,ECM Glycoproteins,0,0.0,0,0.04,0,0.002816901408450704,0,0.0,0,None,NO
THBS2,salmon,0.717543426764244,0.715375243935288,2.29237667,0.000343,0.09516,Core matrisome,ECM Glycoproteins,0,0.0,0,0.043478260869565216,0,0.01006036217303823,0,0.0,0,None,NO
MUC1,salmon,0.355941443707203,0.586072793152875,1.56945833,0.00281,0.31076,Matrisome-associated,ECM-affiliated Proteins,0,0.0,0,0.05555555555555555,0,0.015291750503018108,0,0.0,0,None,NO
TGFB3,salmon,0.600710684476058,0.545156164004948,1.38042167,0.0102,0.54483,Matrisome-associated,Secreted Factors,0,0.0,0,0.1,0,0.008048289738430584,0,0.0,0,None,NO
THBS1,salmon,0.823805710490437,0.695100976997978,2.079993,0.0162,0.65724,Core matrisome,ECM Glycoproteins,0,0.0,0,0.09090909090909091,0,0.01006036217303823,0,0.0,0,None,NO
SDC1,salmon,0.290775390370205,0.318597504143391,0.9774825,0.0191,0.69164,Matrisome-associated,ECM-affiliated Proteins,0,0.0,0,0.06666666666666667,0,0.006036217303822937,0,0.0,0,None,NO
FBLN7,salmon,0.843660364954188,0.617829742220174,1.11067167,0.0193,0.69322,Core matrisome,ECM Glycoproteins,0,0.0,0,0.038461538461538464,0,0.02414486921529175,0,0.0,0,None,NO
ADAMTS2,salmon,0.900788748657001,0.712359461531837,2.27016333,0.0224,0.7369,Matrisome-associated,ECM Regulators,0,0.0,0,0.037037037037037035,0,0.01006036217303823,0,0.0,0,None,NO
MFAP2,salmon,0.805357533233316,0.741478761320463,1.09142667,0.0274,0.78135,Core matrisome,ECM Glycoproteins,0,0.0,0,0.05,0,0.015291750503018108,0,0.0,0,None,NO
MFGE8,salmon,0.71756376418752,0.636824810193956,1.15391333,0.0332,0.82192,Core matrisome,ECM Glycoproteins,0,0.0,0,0.07692307692307693,0,0.018108651911468814,0,0.0,0,None,NO
FGF14,salmon,0.762810985857026,0.511871503793762,1.49400033,0.0345,0.82784,Matrisome-associated,Secreted Factors,0,0.0,0,0.14285714285714285,0,0.004024144869215292,0,0.0,0,None,NO
MMP14,salmon,0.753033312395069,0.604959413190181,2.17859517,0.0365,0.83588,Matrisome-associated,ECM Regulators,0,0.0,0,0.0625,0,0.012072434607645875,0,0.0,0,None,NO
SERPINE1,salmon,0.904221341991961,0.759999358084042,3.0182915,0.0412,0.86207,Matrisome-associated,ECM Regulators,0,0.0,0,0.058823529411764705,0,0.02012072434607646,0,0.0,0,None,NO
SERPINA3,salmon,0.68987099807653,0.436982046358891,1.28543333,0.0418,0.86493,Matrisome-associated,ECM Regulators,0,0.0,0,0.07142857142857142,0,0.01609657947686117,0,0.0,0,None,NO
ADAMTS1,salmon,0.917506521367285,0.690457771077007,1.67115167,0.0453,0.87677,Matrisome-associated,ECM Regulators,0,0.0,0,0.045454545454545456,0,0.018108651911468814,0,0.0,0,None,NO
