gene_symbol,module_color,MM,MM_pvalue,GS,GS_pvalue,logFC,Direction,P.Value,adj.P.Val,Matrisome_Division,Matrisome_Category,Probe_ID
EDIL3,salmon,0.987091332392422,5.32561927580037e-06,0.825866643376209,0.0115364367291285,2.50904,UP,0.00851,0.50937,Core matrisome,ECM Glycoproteins,225275_PM_at
FN1,salmon,0.920276472250275,0.0011922390171344,0.951635333555649,0.0002726694541507,1.93177567,UP,0.00526,0.41042,Core matrisome,ECM Glycoproteins,214702_PM_at
ADAMTS1,salmon,0.917506521367285,0.00131805682031,0.690457771077007,0.0579997740909989,1.67115167,UP,0.0453,0.87677,Matrisome-associated,ECM Regulators,222486_PM_s_at
INHBA,salmon,0.9063469280069,0.0019120143378693,0.878333126825616,0.004101675066806,2.517965,UP,0.017,0.66137,Matrisome-associated,Secreted Factors,210511_PM_s_at
SERPINE1,salmon,0.904221341991961,0.0020418098168687,0.759999358084042,0.0286380131475741,3.0182915,UP,0.0412,0.86207,Matrisome-associated,ECM Regulators,1568765_PM_at
COL11A1,salmon,0.901226098363912,0.0022342191705847,0.867015278299368,0.005308743444833,3.78661098,UP,0.00898,0.52104,Core matrisome,Collagens,37892_PM_at
ADAMTS2,salmon,0.900788748657001,0.0022632596347997,0.712359461531837,0.0473995576604373,2.27016333,UP,0.0224,0.7369,Matrisome-associated,ECM Regulators,226311_PM_at
COL8A1,salmon,0.884895533386569,0.0034910037066574,0.871369917450581,0.0048205912254806,2.68166667,UP,0.00742,0.47534,Core matrisome,Collagens,226237_PM_at
VCAN,salmon,0.876500286320119,0.0042836937152808,0.848809643442862,0.007689885283653,2.75288333,UP,0.000701,0.14869,Core matrisome,Proteoglycans,221731_PM_x_at
POSTN,salmon,0.870098964777907,0.004959946412772,0.814130275120767,0.0138986764701157,2.25361667,UP,0.0423,0.86756,Core matrisome,ECM Glycoproteins,210809_PM_s_at
FBLN7,salmon,0.843660364954188,0.0084680363584823,0.617829742220174,0.102603852378464,1.11067167,UP,0.0193,0.69322,Core matrisome,ECM Glycoproteins,229247_PM_at
COL5A1,salmon,0.836545852000552,0.0096229728147385,0.857679128543423,0.0064594871742115,3.44077333,UP,0.0014,0.2175,Core matrisome,Collagens,212488_PM_at
