"gene_symbol","module_color","MM","MM_pvalue","GS","GS_pvalue"
"FOSB","salmon",0.785084470142686,0.0209884867127943,0.471398848120556,0.23833894471182
"CYR61","salmon",0.863766464001736,0.00569283078021402,0.830523647190334,0.0106749657296445
"SERPINE1","salmon",0.904221341991961,0.00204180981686879,0.759999358084042,0.0286380131475741
"FOS","salmon",0.814462245597112,0.0138280189301203,0.541655952853081,0.165557106460714
"COMP","salmon",0.752856221258999,0.0310894503577455,0.863959995838837,0.00566946755960608
"COL11A1","salmon",0.901226098363912,0.00223421917058478,0.867015278299368,0.005308743444833
"SOCS3","salmon",0.845045555462794,0.00825400248888282,0.577557535953143,0.133801935919342
"S100A8","salmon",0.803918087051905,0.0161844148408128,0.72298454642868,0.0427142189891557
"ATF3","salmon",0.87603771747092,0.00433043765024791,0.537996945463615,0.16900180461835
"COL5A1","salmon",0.836545852000552,0.00962297281473854,0.857679128543423,0.0064594871742115
"RGS1","salmon",0.95387463429107,0.000236926150994581,0.631666021822047,0.0929601180560752
"FN1","salmon",0.920276472250275,0.00119223901713448,0.951635333555649,0.000272669454150738
"ZFP36","salmon",0.840478901119762,0.00897290848686596,0.52654983482608,0.180026105500008
"EGR3","salmon",0.793051891470847,0.0188609109344866,0.394680898629486,0.333232721671942
"SLC2A14","salmon",0.898593432040486,0.00241273070684697,0.547042889735959,0.16055563632611
"LOC100131311","salmon",0.861978970315188,0.00591153857744804,0.633739837835163,0.0915617517790962
"CXCL2","salmon",0.903360820801553,0.00209593936493206,0.598439790842211,0.11704174633008
"IL6","salmon",0.95575112932517,0.000209469659710952,0.707899124594562,0.049454683860425
"HBB","salmon",0.499405265986972,0.207659005866153,0.329003176646034,0.426188899103931
"SIK1","salmon",0.925261532292476,0.000986064035221892,0.533869810803521,0.172933274907211
"CTGF","salmon",0.870957604604715,0.004865520362861,0.852473844862969,0.00716495856604025
"EGR1","salmon",0.788053596845979,0.0201790400696744,0.567165554120764,0.142611566245964
"FOSL1","salmon",0.736652711477896,0.0371158638815791,0.488395995664773,0.219458698781678
"FCGR3A","salmon",0.784356865460521,0.021189878686535,0.879825833339857,0.00395717430718965
"FCGR3B","salmon",0.784356865460521,0.021189878686535,0.879825833339857,0.00395717430718965
"CCL3","salmon",0.909809496996564,0.00171227180690337,0.600587381477525,0.115389387829341
"CCL3L1","salmon",0.909809496996564,0.00171227180690337,0.600587381477525,0.115389387829341
"CCL3L3","salmon",0.909809496996564,0.00171227180690337,0.600587381477525,0.115389387829341
"HBG1","salmon",0.542265849036065,0.164986667726317,0.520430569248522,0.186072864509841
"HBG2","salmon",0.542265849036065,0.164986667726317,0.520430569248522,0.186072864509841
"RGS2","salmon",0.874164422274285,0.00452309265683887,0.582364117033947,0.129832673538356
"ITGBL1","salmon",0.605362208677444,0.111763212111792,0.483105676848549,0.225249268014662
"ADAM12","salmon",0.745817912677364,0.0336269709320205,0.830776225829931,0.0106294481374414
"DUSP1","salmon",0.900461269938732,0.00228516405424714,0.643604434419754,0.0850773167780123
"KLF4","salmon",0.612677749875539,0.106334699639836,0.117053373165783,0.782521442208842
"TFRC","salmon",0.731110634770543,0.03932828968654,0.328328928724105,0.427194741080578
"IER3","salmon",0.954257972743972,0.000231135500848142,0.72855543722946,0.0403746949258606
"AREG","salmon",0.741123070349226,0.0353878575546514,0.348831073007876,0.397063404164067
"IER2","salmon",0.928900520332398,0.000851310688797995,0.60158211103095,0.114628542753616
"ZNF331","salmon",0.9142511750582,0.00147661540350567,0.563098743704234,0.146143981245845
"BGN","salmon",0.663825668521035,0.0726429700409439,0.722407996348686,0.042960917889853
"CDH11","salmon",0.907094870168241,0.00186765203111388,0.843096701854115,0.00855613167371135
"PHLDA1","salmon",0.888439757259995,0.00318716152675848,0.628271404964268,0.0952755280363023
"LMO7","salmon",0.874584839650621,0.00447938578500795,0.896693224206152,0.00254715373760647
"COL1A2","salmon",0.690171104699821,0.0581470578834721,0.776910933078911,0.0233201280651838
"DEFA1","salmon",0.739747006360108,0.0359144178457233,0.660722006006853,0.0744770193674957
"DEFA1B","salmon",0.739747006360108,0.0359144178457233,0.660722006006853,0.0744770193674957
"DEFA3","salmon",0.739747006360108,0.0359144178457233,0.660722006006853,0.0744770193674957
"KIAA1199","salmon",0.879302658663365,0.00400744023684959,0.803076688802353,0.0163825542890461
"MAFF","salmon",0.829375234151887,0.0108834795037919,0.468256907636433,0.24191632874769
"TOB1","salmon",0.736477239725636,0.0371847192168121,0.379630371038624,0.353626199086957
"SEMA4A","salmon",0.941291013292953,0.000483873735928868,0.591205772795036,0.122705395139695
"NAMPT","salmon",0.941061752842104,0.000489478590458115,0.693303238839313,0.0565498889152083
"NR4A3","salmon",0.762910260848361,0.027674370792162,0.422464582126309,0.297082402076379
"INHBA","salmon",0.9063469280069,0.00191201433786931,0.878333126825616,0.00410167506680606
"FKBP5","salmon",0.749889573672873,0.032144137735167,0.579360247423954,0.132305445591704
"CXCR4","salmon",0.909097159911353,0.00175219743189654,0.935708184087396,0.000632742489723041
"ASPN","salmon",0.924867888195153,0.00100142326040679,0.718709500087468,0.0445639746241097
"MMP19","salmon",0.815859044549014,0.0135331999488695,0.399155839194223,0.327277722240059
"LOC284454","salmon",0.665239147225492,0.0718165966097099,0.295371412902776,0.477547341220014
"LOC100131683","salmon",0.958496044516773,0.000173217074854199,0.761420664562982,0.0281649552038913
"MMP14","salmon",0.753033312395069,0.031027174074639,0.604959413190181,0.112066575712217
"SULF1","salmon",0.892144351476661,0.00288841165709818,0.92531808500692,0.000983870186555776
"JUNB","salmon",0.930830211409367,0.000785023193846145,0.657923801715119,0.0761536172719558
"ELL2","salmon",0.837261061219269,0.00950260870540388,0.597460535317824,0.117799596855291
"VCAN","salmon",0.876500286320119,0.00428369371528082,0.848809643442862,0.007689885283653
"LOX","salmon",0.736105143703914,0.0373309876890295,0.822718144283713,0.0121430083879465
"DNAJB1","salmon",0.929641370887472,0.00082544539427235,0.574826250806457,0.13608714009267
"POSTN","salmon",0.870098964777907,0.00495994641277204,0.814130275120767,0.0138986764701157
"SLC12A8","salmon",0.881332442126645,0.00381469568014259,0.854152199273371,0.00693238042718943
"COL5A2","salmon",0.779175896737102,0.0226586959976788,0.843268278939359,0.00852925432882561
"AREGB","salmon",0.65139643712321,0.0801498696754837,0.29960306900698,0.470955221030271
"CLEC11A","salmon",0.592638725589761,0.121571526581041,0.61946902025407,0.101432713363753
"MSR1","salmon",0.877160579653056,0.00421753366004566,0.896439669492629,0.00256544872627027
"CDKN1A","salmon",0.934948498828362,0.000655056447875178,0.708705714469297,0.0490791498290955
"PDPN","salmon",0.807856237578306,0.015277029025255,0.835469945999491,0.00980585506888031
"CSRNP1","salmon",0.909563504486366,0.00172599176769232,0.498289855510553,0.208839029155797
"TAGLN","salmon",0.840604509528405,0.00895262206016006,0.857704616088827,0.0064561472542696
"MXRA5","salmon",0.70214884849251,0.0521819593382416,0.791565681202357,0.0192470506433063
"FAP","salmon",0.761877094815586,0.0280140692347898,0.80962008983585,0.0148812312631575
"COL8A1","salmon",0.884895533386569,0.00349100370665746,0.871369917450581,0.00482059122548064
"NFKBIZ","salmon",0.768736270688308,0.0258064203194029,0.47916387322387,0.229614365644088
"SLC16A3","salmon",0.930995633615444,0.000779503509026577,0.888474485348167,0.00318427231014139
"THBS1","salmon",0.823805710490437,0.0119312619153674,0.695100976997978,0.05564514117359
"LOC100289208","salmon",0.878429713325973,0.00409222390620131,0.559719809565846,0.149115190893956
"GK","salmon",0.945231868534887,0.00039401399756618,0.781717697427373,0.0219304420409892
"FILIP1L","salmon",0.850745153905059,0.00740965802069441,0.759693077397073,0.0287405899631072
"PRSS23","salmon",0.658631614521939,0.0757274492405389,0.777023480980614,0.023286981773199
"LOC100302650","salmon",0.891336465825081,0.00295194600487383,0.499723058649396,0.207323444428542
"IL1R2","salmon",0.806862232009852,0.0155029601203933,0.543856182734654,0.16350424483219
"GADD45B","salmon",0.892255140463104,0.0028797685196563,0.568716731372456,0.141276791366916
"ZCCHC6","salmon",0.853179230658142,0.00706661247729232,0.775757065769573,0.0236616407471523
"FCGR1B","salmon",0.920345300319637,0.00118921692316897,0.802025104773666,0.0166323190972377
"ADAMTS2","salmon",0.900788748657001,0.00226325963479976,0.712359461531837,0.0473995576604373
"EIF4G1","salmon",0.790152918366911,0.0196186470320621,0.722584277035654,0.0428853981314114
"COL1A1","salmon",0.519460432143362,0.18704130175708,0.595912832861606,0.119003005983077
"SGK1","salmon",0.950972412650307,0.000283892421067646,0.727057959848053,0.0409957171595345
"TIMP1","salmon",0.763638475230656,0.0274364726519741,0.857037985456339,0.00654386720822749
"APOLD1","salmon",0.793043966215084,0.0188629570865698,0.4355377032587,0.280762863839028
"RUNX1","salmon",0.873669614862527,0.00457488332676884,0.607307751306169,0.110304505404882
"IL8","salmon",0.834002152269822,0.0100588848266234,0.455473803076484,0.256749273703005
"AG2","salmon",0.811301596680338,0.0145099716060988,0.533360474307163,0.173421845948676
"EDIL3","salmon",0.987091332392422,5.32561927580037e-06,0.825866643376209,0.0115364367291285
"LOC100288387","salmon",0.737965231120699,0.0366032951980853,0.536592098768025,0.170334569712972
"KHDRBS3","salmon",0.685241230526889,0.060714852290448,0.537400747252865,0.169566721385503
"SLC2A3","salmon",0.950186753496767,0.000297581802679452,0.67391471765118,0.0668659824862682
"PLAUR","salmon",0.862981660307115,0.00578820468532527,0.597089301728059,0.11808761857495
