GeneSymbol,N_SNPs,Threshold_Used,Mean_F_stat,Is_Weak_Instrument,MR_Method,MR_Beta,MR_SE,MR_CI_Lower,MR_CI_Upper,MR_Pvalue,Cochran_Q,Cochran_Q_Pval,Top_Instrument_SNP,MR_FDR,Gene Name,Matrisome Division,Matrisome Category,logFC,Direction,P.Value,adj.P.Val,FDR_Significant (<0.05),Probe ID
P4HA2,2,5.0e-08,89.54775726500002,False,IVW,-0.017607027174743217,0.0029491896548052275,-0.023387438898161462,-0.011826615451324973,2.3707371621384254e-09,0.1708641040738934,0.6793449901645022,rs11955347,3.613960429916704e-07,"prolyl 4-hydroxylase, alpha polypeptide II",Matrisome-associated,ECM Regulators,1.21846333,UP,0.0387,0.8471,NO,202733_PM_at
BMP6,1,5.0e-08,230.51134276000002,False,Wald Ratio,-0.010198256429078158,0.002920070331482997,-0.015921594278784833,-0.0044749185793714836,0.000478576333715397,0.0,1.0,rs9406052,0.012907964003414553,bone morphogenetic protein 6,Matrisome-associated,Secreted Factors,-1.48332,DOWN,0.0352,0.82955,NO,206176_PM_at
IGFBP3,3,5.0e-08,414.17749500666673,False,IVW,0.004070671321671804,0.001245150651429334,0.0016301760448703094,0.006511166598473299,0.0010784444275606653,1.487032959909984,0.4754391004535087,rs1525828,0.023393515154501325,insulin-like growth factor binding protein 3,Core matrisome,ECM Glycoproteins,-1.07637167,DOWN,0.0269,0.77873,NO,210095_PM_s_at
WNT11,1,5.0e-08,378.47367936,False,Wald Ratio,0.006022305331303022,0.0021473820152760493,0.0018134365813619654,0.010231174081244078,0.005039669182435924,0.0,1.0,rs17749202,0.07339101063571894,"wingless-type MMTV integration site family, member 11",Matrisome-associated,Secreted Factors,-1.99553833,DOWN,0.000199,0.07219,NO,206737_PM_at
CRHBP,1,1.0e-05 (relaxed),21.265009959999997,False,Wald Ratio,-0.024695919514165048,0.009180213118978653,-0.04268913722736321,-0.0067027018009668884,0.007142528992213126,0.0,1.0,rs406171,0.09259613081056953,corticotropin releasing hormone binding protein,Matrisome-associated,Secreted Factors,-1.3207815,DOWN,0.00457,0.37593,NO,205984_PM_at
AMH,1,5.0e-08,792.2704972900001,False,Wald Ratio,0.003329704634718438,0.001421181039099367,0.0005441897980836786,0.006115219471353198,0.019133804395039533,0.0,1.0,rs4807216,0.17772495521441228,anti-Mullerian hormone,Matrisome-associated,Secreted Factors,-0.602321,DOWN,0.0475,0.88813,NO,206516_PM_at
COL4A2,1,5.0e-08,48.86709025000001,False,Wald Ratio,0.015293580611194867,0.006719338862713334,0.0021236764402767314,0.028463484782113004,0.022842755398825965,0.0,1.0,rs9559794,0.19798052663121404,"collagen, type IV, alpha 2",Core matrisome,Collagens,-0.90801,DOWN,0.0286,0.78879,NO,211964_PM_at
ADAMTS1,1,5.0e-08,874.1720089600003,False,Wald Ratio,0.0034935920182081986,0.0015350305852311718,0.00048493207115510176,0.006502251965261295,0.02285137505256496,0.0,1.0,rs462404,0.19798052663121404,"ADAM metallopeptidase with thrombospondin type 1 motif, 1",Matrisome-associated,ECM Regulators,1.67115167,UP,0.0453,0.87677,NO,222486_PM_s_at
LTBP4,1,5.0e-08,900.8642073599997,False,Wald Ratio,0.003270156097473904,0.0014840411781332846,0.0003614353883326666,0.006178876806615142,0.027556141685737057,0.0,1.0,rs2303728,0.22367994638505467,latent transforming growth factor beta binding protein 4,Core matrisome,ECM Glycoproteins,-0.81071,DOWN,0.021,0.71493,NO,227989_PM_at
FGL2,2,5.0e-08,172.90137856999996,False,IVW,0.005058849497208325,0.0023219725636562144,0.0005077832724421447,0.009609915721974505,0.029354990311204476,0.37799212531565346,0.5386797805524051,rs66471312,0.23171190352495805,fibrinogen-like 2,Core matrisome,ECM Glycoproteins,-1.46849833,DOWN,0.00684,0.46254,NO,227265_PM_at
ADAM28,1,5.0e-08,572.87465104,False,Wald Ratio,-0.0040449411748323585,0.0018778239042804119,-0.007725476027221966,-0.00036440632244275116,0.03123564162337411,0.0,1.0,rs892587,0.24061725601019204,ADAM metallopeptidase domain 28,Matrisome-associated,ECM Regulators,0.61917133,UP,0.024,0.74981,NO,208269_PM_s_at
TNC,1,1.0e-05 (relaxed),20.392449639999995,False,Wald Ratio,-0.01802692569153655,0.009165465029853718,-0.035991237150049836,-6.261423302326291e-05,0.04920263524069468,0.0,1.0,rs7872878,0.3129980808420302,tenascin C,Core matrisome,ECM Glycoproteins,3.391885,UP,0.00371,0.34902,NO,201645_PM_at
CRISPLD2,1,5.0e-08,3785.0057017599997,False,Wald Ratio,-0.0014289235897875588,0.0007414363728642588,-0.002882138880601506,2.4291701026388484e-05,0.05395010439571313,0.0,1.0,rs8057431,0.3255115687695139,cysteine-rich secretory protein LCCL domain containing 2,Core matrisome,ECM Glycoproteins,2.78338833,UP,0.00654,0.45545,NO,221541_PM_at
SPON2,1,5.0e-08,411.06751504,False,Wald Ratio,0.004081681994155117,0.002118259195775039,-7.010602956395925e-05,0.008233470017874193,0.05399160217558885,0.0,1.0,rs73067776,0.3255115687695139,"spondin 2, extracellular matrix protein",Core matrisome,ECM Glycoproteins,1.45533,UP,0.0305,0.80209,NO,218638_PM_s_at
FBLN5,3,5.0e-08,1966.8258707366665,False,IVW,-0.0013301031514990835,0.0007244652454247955,-0.0027500550325316826,8.984872953351564e-05,0.0663607268894264,0.14281613045264158,0.9310818724614507,rs11160031,0.36442893320774694,fibulin 5,Core matrisome,ECM Glycoproteins,-1.481305,DOWN,0.00948,0.52984,NO,203088_PM_at
