GeneSymbol,N_SNPs,Threshold_Used,Mean_F_stat,Is_Weak_Instrument,MR_Method,MR_Beta,MR_SE,MR_CI_Lower,MR_CI_Upper,MR_Pvalue,Cochran_Q,Cochran_Q_Pval,Top_Instrument_SNP,MR_FDR
TNXA,3,5.0e-08,210.08553614000002,False,IVW,0.004931002686605561,0.0005840925178425101,0.0037861813516342413,0.0060758240215768805,0.0,0.7165766880363547,0.6988715305255478,rs1150753,0.0
CCDC17,3,5.0e-08,178.22687375,False,IVW,0.015692345785318994,0.001865018359185467,0.012036909801315478,0.01934778176932251,0.0,0.18780733888790294,0.9103704545090697,rs2275085,0.0
KRT8P46,2,5.0e-08,743.9050930000001,False,IVW,-0.004272984037210332,0.0005065637301753163,-0.005265848948353952,-0.0032801191260667115,0.0,0.017730178123249476,0.8940710240524284,rs223490,0.0
PTPN12,3,5.0e-08,787.4476494133334,False,IVW,0.007679443402549775,0.0009183577516431467,0.005879462209329208,0.009479424595770343,0.0,1.5508799162485105,0.4605011352087399,rs12537271,0.0
RP4-756H11.3,3,5.0e-08,1992.5390869733335,False,IVW,0.0023629261923881558,0.00028466545141551356,0.0018049819076137491,0.0029208704771625624,0.0,0.060696975378697685,0.9701074041472718,rs810400,0.0
FBXL20,1,5.0e-08,207.58470084,False,Wald Ratio,0.03720871166659609,0.003218688373333267,0.030900082454862886,0.04351734087832929,0.0,0.0,1.0,rs11870713,0.0
FBXO22,3,5.0e-08,73.51054436666665,False,IVW,-0.029165570304234376,0.0028118330754027835,-0.03467676313202383,-0.02365437747644492,0.0,0.60556454132384,0.7387599285711508,rs57737646,0.0
IMP3,2,5.0e-08,173.965002625,False,IVW,0.021313371490526794,0.002377588549312951,0.01665329793387341,0.025973445047180178,0.0,0.3824982642466982,0.5362692310071021,rs13737,0.0
ALMS1P,1,5.0e-08,592.2603649600002,False,Wald Ratio,0.009479798531552881,0.0007463764929658087,0.008016900605339897,0.010942696457765865,0.0,0.0,1.0,rs9749859,0.0
LRRC37A15P,2,5.0e-08,971.1478599699999,False,IVW,-0.0038298279705346948,0.00045397354433607636,-0.004719616117433404,-0.002940039823635985,0.0,0.0008390536604947004,0.9768913699279117,rs223490,0.0
RGS14,1,5.0e-08,283.00323529,False,Wald Ratio,-0.0336014214838415,0.00260632034084346,-0.038709809351894685,-0.02849303361578832,0.0,0.0,1.0,rs4075958,0.0
SLC30A4,1,5.0e-08,63.17388324,False,Wald Ratio,0.12681377937205524,0.005370252989225684,0.1162880835131729,0.13733947523093756,0.0,0.0,1.0,rs1554521,0.0
ALG1L13P,2,5.0e-08,264.62470682000003,False,IVW,0.007640705800616993,0.0008229820642752703,0.0060276609546374635,0.009253750646596523,0.0,0.9067555833083603,0.3409767259596931,rs13270194,0.0
RSBN1L,1,5.0e-08,389.15058361,False,Wald Ratio,-0.018758632473632998,0.002192351103988119,-0.02305564063744971,-0.014461624309816287,0.0,0.0,1.0,rs6465848,0.0
ALMS1,2,5.0e-08,1461.3963069249999,False,IVW,0.0090674782751055,0.0008524454776638118,0.007396685138884428,0.01073827141132657,0.0,0.011983732149637067,0.912829529619038,rs11126399,0.0
KLHDC8B,4,5.0e-08,585.790898875,False,IVW,0.007914745895529197,0.0009287386530167056,0.006094418135616454,0.00973507365544194,0.0,0.8679493124336884,0.833154665608698,rs9850917,0.0
DNAJC16,1,5.0e-08,86.75432163999999,False,Wald Ratio,-0.04587727039119904,0.004648324424336678,-0.054987986262898934,-0.03676655451949915,0.0,0.0,1.0,rs7515244,0.0
LPAL2,1,1.0e-05 (relaxed),23.639044000000002,False,Wald Ratio,-0.08142340091936602,0.008887939457541471,-0.0988437622561473,-0.06400303958258474,0.0,0.0,1.0,rs2481031,0.0
BLOC1S6,1,5.0e-08,166.40484004,False,Wald Ratio,-0.0703605891662878,0.0029961832831875627,-0.07623310840133543,-0.06448806993124018,0.0,0.0,1.0,rs7183946,0.0
CTB-131K11.1,1,5.0e-08,67.19900625,False,Wald Ratio,0.030418724152016206,0.0020929009584584853,0.026316638273437575,0.03452081003059484,0.0,0.0,1.0,rs12942360,0.0
SNORA40,1,1.0e-05 (relaxed),27.066006249999997,False,Wald Ratio,0.029496917841677354,0.00291061794494889,0.02379210666957753,0.035201729013777175,0.0,0.0,1.0,rs2055975,0.0
ALMS1-IT1,1,5.0e-08,37.81143080999998,False,Wald Ratio,0.02989610264630762,0.003011962490908375,0.023992656164127206,0.03579954912848803,0.0,0.0,1.0,rs11899517,0.0
CTD-3220F14.2,1,5.0e-08,37.19292196,False,Wald Ratio,-0.023997575553525913,0.002541166839536145,-0.028978262559016758,-0.019016888548035068,0.0,0.0,1.0,rs862234,0.0
ZKSCAN4,3,5.0e-08,468.54843713666673,False,IVW,-0.010176653855858002,0.0011636508956210142,-0.01245740961127519,-0.007895898100440814,0.0,1.7973221012220544,0.4071144005468851,rs13200462,0.0
ZNF512,1,1.0e-05 (relaxed),27.137848359999996,False,Wald Ratio,0.08060512508866569,0.009450783586908323,0.06208158925832537,0.099128660919006,0.0,0.0,1.0,rs4665987,0.0
RP11-10L12.2,2,5.0e-08,244.01879436499996,False,IVW,-0.006218302369777796,0.0007371052060098671,-0.0076630285735571355,-0.004773576165998457,0.0,0.00292492143949989,0.9568694006896141,rs223490,0.0
PNMT,1,5.0e-08,61.90227684000001,False,Wald Ratio,0.04811653058520913,0.005496634739965392,0.03734312649487696,0.058889934675541294,0.0,0.0,1.0,rs876493,0.0
DUSP11,1,5.0e-08,51.71479568999999,False,Wald Ratio,-0.06714504382046546,0.006029270503761444,-0.07896241400783789,-0.05532767363309303,0.0,0.0,1.0,rs62149659,0.0
TRIM10,3,5.0e-08,169.95332985666667,False,IVW,0.011298709354367808,0.0013594861747452968,0.008634116451867027,0.01396330225686859,0.0,1.3418717654310424,0.5112299026000633,rs144447022,0.0
LMAN2,1,5.0e-08,191.77541289,False,Wald Ratio,-0.027974100021361623,0.0031471913549731456,-0.03414259507710899,-0.021805604965614258,0.0,0.0,1.0,rs4976645,0.0
ERBB2,1,5.0e-08,66.40620099999998,False,Wald Ratio,0.04464931402221002,0.005429853491086621,0.034006801179680246,0.055291826864739796,2.220446049250313e-16,0.0,1.0,rs903506,1.0248592098428667e-13
XXbac-BPG248L24.11,2,5.0e-08,175.785937165,False,IVW,-0.006594024147699363,0.0007972638684088416,-0.008156661329780691,-0.005031386965618033,2.220446049250313e-16,0.15348465655565374,0.6952272921669098,rs2596495,1.0248592098428667e-13
RP11-10L12.4,2,5.0e-08,991.7020220500001,False,IVW,-0.007073329037170885,0.0008651563062039833,-0.008769035397330692,-0.005377622677011078,2.220446049250313e-16,0.34837342983892916,0.5550353392770115,rs223350,1.0248592098428667e-13
PPP2R3A,2,5.0e-08,153.63604264999998,False,IVW,0.020290512788377645,0.002485830438792917,0.015418285128343527,0.025162740448411762,2.220446049250313e-16,0.16367722068806415,0.6857933089395083,rs12695644,1.0248592098428667e-13
ETV5,1,5.0e-08,464.09654041,False,Wald Ratio,-0.016466691252935314,0.0020060863286027924,-0.020398620456996787,-0.01253476204887384,2.220446049250313e-16,0.0,1.0,rs4234589,1.0248592098428667e-13
PPP1R1B,1,5.0e-08,214.37352225,False,Wald Ratio,0.0236685346150359,0.0028688944815236225,0.018045501431249597,0.0292915677988222,2.220446049250313e-16,0.0,1.0,rs3794712,1.0248592098428667e-13
KAT5,1,5.0e-08,48.248305210000005,False,Wald Ratio,0.049978494271784926,0.006143932587547883,0.03793638640019108,0.062020602143378775,4.440892098500626e-16,0.0,1.0,rs502468,1.994320624559092e-13
PRDX1,3,5.0e-08,456.3964030666666,False,IVW,0.009697442051582034,0.0012062881924395589,0.007333117194400499,0.01206176690876357,8.881784197001252e-16,1.6066915282932663,0.44782812750175094,rs17522918,3.5995055174968976e-13
XYLB,1,5.0e-08,618.52684804,False,Wald Ratio,0.01407585895580894,0.0017514383354430298,0.010643039818340602,0.017508678093277278,8.881784197001252e-16,0.0,1.0,rs7372545,3.5995055174968976e-13
C16orf55,1,5.0e-08,208.99617488999993,False,Wald Ratio,-0.02246556659398416,0.0027884717102642986,-0.027930971146102185,-0.017000162041866135,8.881784197001252e-16,0.0,1.0,rs164749,3.5995055174968976e-13
ACVR2B,1,5.0e-08,1133.85745984,False,Wald Ratio,0.007181574781748985,0.0008935927406700288,0.005430133010035728,0.008933016553462242,8.881784197001252e-16,0.0,1.0,rs7372545,3.5995055174968976e-13
ACVR2B-AS1,1,5.0e-08,143.78887744,False,Wald Ratio,0.02036039054100469,0.002536875445952993,0.015388114666936827,0.025332666415072556,1.1102230246251565e-15,0.0,1.0,rs2284817,4.392253756469429e-13
OIP5,1,5.0e-08,154.76355216000002,False,Wald Ratio,-0.02795307570088108,0.003496660951737113,-0.03480653116628582,-0.02109962023547634,1.3322676295501878e-15,0.0,1.0,rs11070327,5.148129984326958e-13
SMPD3,2,5.0e-08,137.04895890499998,False,IVW,0.020638856354412448,0.0026073747811655988,0.015528401783327875,0.02574931092549702,2.4424906541753444e-15,0.966630274353838,0.3255220190003565,rs2307022,9.2237328885858e-13
RP11-685G9.2,3,5.0e-08,202.95816194,False,IVW,-0.005733488906796076,0.0007267119280005516,-0.007157844285677157,-0.004309133527914994,3.1086244689504383e-15,0.4046412349296702,0.8168329950302871,rs2938695,1.1478423150240108e-12
BTN3A2,3,5.0e-08,9216.909672029999,False,IVW,0.0023912596745177626,0.0003053408111063028,0.001792791684749409,0.002989727664286116,4.884981308350689e-15,1.5796525755052053,0.45392364052970824,rs9379875,1.7645402047729357e-12
IMPDH2,3,5.0e-08,54.62632678,False,IVW,-0.026443817778020674,0.0033940434172900287,-0.03309614287590913,-0.01979149268013222,6.661338147750939e-15,0.13267825172201247,0.9358134519306636,rs9813813,2.3549956311282894e-12
EIF3C,2,5.0e-08,249.682734365,False,IVW,0.006449615932082669,0.0008296548242771728,0.004823492476499411,0.008075739387665927,7.549516567451064e-15,0.03717776630410065,0.8471035670705025,rs7206214,2.61339098509931e-12
RP11-332H18.3,1,1.0e-05 (relaxed),23.50989169,False,Wald Ratio,-0.02844005550018092,0.003668383499141289,-0.035630087158497845,-0.021250023841863995,8.881784197001252e-15,0.0,1.0,rs8072961,3.011831147293323e-12
INO80,1,5.0e-08,40.69802025,False,Wald Ratio,0.047126301949671205,0.006085823562639187,0.0351980877668984,0.05905451613244401,9.769962616701378e-15,0.0,1.0,rs28501589,3.2467539767822018e-12
ZNF436,1,5.0e-08,78.52618224999999,False,Wald Ratio,0.037697735093214745,0.004888769603777057,0.02811574666981171,0.04727972351661778,1.2434497875801753e-14,0.0,1.0,rs2849025,3.9733003212369605e-12
TMA7,3,5.0e-08,90.28594572666667,False,IVW,-0.00826045287631133,0.0010712176639833132,-0.010360039497718625,-0.006160866254904036,1.2434497875801753e-14,1.636181947996604,0.4412732530475795,rs13324374,3.9733003212369605e-12
TDH,3,5.0e-08,50.638393826666665,False,IVW,-0.017327740651910506,0.0022498492267429503,-0.021737445136326687,-0.012918036167494323,1.3322676295501878e-14,1.1197565678531154,0.5712785934045278,rs2736265,4.1767847042652686e-12
VKORC1L1,4,5.0e-08,1125.4058833225,False,IVW,-0.005176174483184481,0.0006730203655766369,-0.006495294399714689,-0.0038570545666542725,1.4654943925052066e-14,0.7430299330436962,0.8630391807285547,rs4718377,4.4944734802563535e-12
NRG4,1,1.0e-05 (relaxed),24.10220836,False,Wald Ratio,-0.03895935801877553,0.005066825427435951,-0.04889033585654999,-0.029028380181001068,1.4876988529977098e-14,0.0,1.0,rs1394122,4.4944734802563535e-12
BCAS3,1,5.0e-08,66.70478928999998,False,Wald Ratio,0.041384928280788824,0.005385954150037793,0.030828458146714748,0.0519413984148629,1.554312234475219e-14,0.0,1.0,rs7211975,4.6118664442929e-12
PTPN9,1,5.0e-08,39.183844089999994,False,Wald Ratio,-0.05376909529214398,0.0070391168172476235,-0.06756576425394932,-0.03997242633033864,2.19824158875781e-14,0.0,1.0,rs9944207,6.408067059438556e-12
RP11-817O13.6,1,5.0e-08,96.52276516,False,Wald Ratio,-0.013698021296074484,0.0018015384443847134,-0.017229036647068523,-0.010167005945080446,2.886579864025407e-14,0.0,1.0,rs7171507,8.269553624249338e-12
UBE2D3,1,1.0e-05 (relaxed),19.581510009999995,False,Wald Ratio,-0.0907293710912211,0.012000160799224108,-0.11424968625770035,-0.06720905592474186,4.0190073491430667e-14,0.0,1.0,rs223331,1.1318614595484949e-11
HINT1,3,5.0e-08,334.95646139,False,IVW,0.0073631120686610315,0.0009820944347685146,0.005438206976514743,0.00928801716080732,6.505906924303417e-14,0.25057496885693814,0.8822432349314274,rs3864285,1.8017024909037596e-11
TUFM,4,5.0e-08,6009.944351565,False,IVW,0.0025043377825236146,0.00033515189798774786,0.0018474400624676288,0.0031612355025796004,7.882583474838611e-14,1.5517938863208283,0.6703689352816395,rs12443881,2.1471640494740716e-11
RAD51C,4,5.0e-08,5406.715274632501,False,IVW,0.002549148128578922,0.00034145296445049593,0.0018799003182559501,0.003218395938901894,8.282263763703668e-14,2.817932929374089,0.4205563393973939,rs3087762,2.219646688672583e-11
CBWD5,1,1.0e-05 (relaxed),26.86659889,False,Wald Ratio,0.03736991837979845,0.005036160812525859,0.027499043187247767,0.047240793572349137,1.1679546219056647e-13,0.0,1.0,rs7022220,3.080433967870559e-11
SLC7A6OS,2,5.0e-08,152.19904284999998,False,IVW,0.01320896826107982,0.0017879485503665114,0.00970458910236146,0.016713347419798182,1.4921397450962104e-13,0.31020653524141434,0.577553474725619,rs9933029,3.873967813206036e-11
PLA2G15,2,5.0e-08,75.911664245,False,IVW,-0.027690685903405024,0.003778252316511363,-0.03509606044376729,-0.020285311363042752,2.320366121466577e-13,0.12137579820675534,0.7275470894226539,rs7672,5.931569765275177e-11
TPRKB,1,5.0e-08,153.86665849,False,Wald Ratio,-0.030041861834764993,0.004107690578859394,-0.03809293536932941,-0.02199078830020058,2.602362769721367e-13,0.0,1.0,rs7422438,6.551645421468217e-11
PCNXL3,2,5.0e-08,163.79859141,False,IVW,-0.016106057022590846,0.002210740720173982,-0.02043910883413185,-0.01177300521104984,3.2085445411667024e-13,0.0481411885300409,0.8263298991705053,rs1144789,7.957190462093422e-11
LIMA1,2,5.0e-08,1531.626247645,False,IVW,-0.005800791836242055,0.0007972769912834191,-0.0073634547391575565,-0.004238128933326554,3.4439118223872356e-13,0.17896448277446397,0.6722646620078199,rs11169315,8.415299829527398e-11
METTL10,1,5.0e-08,679.5197697599999,False,Wald Ratio,0.012014212359809514,0.0016688552216841508,0.008743256125308577,0.01528516859431045,6.061817714453355e-13,0.0,1.0,rs12570348,1.4597559875848833e-10
EDEM2,3,5.0e-08,743.5200371633332,False,IVW,0.0068363107193295065,0.0009587683596936036,0.004957124734330043,0.00871549670432897,1.0014211682118912e-12,1.036655031410381,0.5955157062109084,rs7353271,2.377087733001255e-10
PRRC2A,2,5.0e-08,78.684707825,False,IVW,0.012699902315286877,0.0017930195996697933,0.009185583899934083,0.01621422073063967,1.410871419693649e-12,0.31886283665511495,0.5722918411670355,rs707939,3.3018365506520664e-10
RP11-817O13.8,2,5.0e-08,100.924652005,False,IVW,-0.009137709764693107,0.0012908654854438123,-0.011667806116162978,-0.006607613413223234,1.45461420686388e-12,0.0015623030499979198,0.9684710411063295,rs80163632,3.35692634184031e-10
RP11-690G19.3,1,1.0e-05 (relaxed),21.512899240000003,False,Wald Ratio,-0.034733786965044436,0.004916912340500001,-0.044370935152424434,-0.025096638777664434,1.6160406346443779e-12,0.0,1.0,rs56143149,3.678374134965888e-10
RP11-1348G14.4,2,5.0e-08,170.579460445,False,IVW,-0.007222726201190842,0.0010258785462170916,-0.009233448151776341,-0.005212004250605343,1.915134717478395e-12,0.5893235448458227,0.44268081899884704,rs8049439,4.300253846705542e-10
ADAM1B,3,5.0e-08,171.27750585666664,False,IVW,0.005295218302590802,0.0007602550185606701,0.003805118466211889,0.006785318138969715,3.282707439211663e-12,0.32906573938211087,0.8482898734600152,rs7134084,7.272728907992132e-10
CYB561D1,1,5.0e-08,198.44075161000006,False,Wald Ratio,0.01981465451737902,0.0028493275473137685,0.014229972524644034,0.025399336510114005,3.54694051907245e-12,0.0,1.0,rs17575205,7.754732061172084e-10
MAST2,3,5.0e-08,110.94892118,False,IVW,0.015941470195273814,0.002296412120523585,0.011440502439047588,0.02044243795150004,3.8684611070038954e-12,1.0174332994125435,0.601266719705825,rs66682726,8.347837630386588e-10
TMEM116,3,5.0e-08,1777.0561660066667,False,IVW,0.004171579847157593,0.0006120487394747336,0.0029719643177871153,0.005371195376528071,9.376499576774222e-12,0.07949145795571608,0.9610337711270337,rs4767068,1.9974348329189806e-09
NFE2L2,1,5.0e-08,48.366461159999986,False,Wald Ratio,0.043197503064774816,0.0063400256858322365,0.030771052720543632,0.055623953409006,9.527933997333093e-12,0.0,1.0,rs1806649,2.0040019151859072e-09
MAPKAPK5-AS1,4,5.0e-08,865.4220276125,False,IVW,0.004413761217475402,0.0006480692371506327,0.003143545512660162,0.005683976922290642,9.71711600072922e-12,0.4577905111066328,0.9280618242260665,rs7974772,2.018244993351459e-09
EIF2B4,1,5.0e-08,108.17040024999999,False,Wald Ratio,-0.026188333850594336,0.0038984289934942706,-0.033829254677843104,-0.018547413023345567,1.8466117523985304e-11,0.0,1.0,rs1728922,3.754419236206171e-09
COL7A1,2,5.0e-08,46.30860396999999,False,IVW,0.032523719006392116,0.004841874402760737,0.023033645176981074,0.04201379283580316,1.8528067968759387e-11,0.6383355158713697,0.4243141744054547,rs6446277,3.754419236206171e-09
PARG,2,5.0e-08,178.706837025,False,IVW,-0.013977562129224177,0.0020821555739493755,-0.01805858705416495,-0.009896537204283401,1.9062973422023788e-11,0.568180359992909,0.4509829001690654,rs1438929,3.816269474462015e-09
FGFR4,1,5.0e-08,222.54672399999998,False,Wald Ratio,0.019331982045105334,0.0028969097814416623,0.013654038873479676,0.02500992521673099,2.5009327941916126e-11,0.0,1.0,rs439213,4.9470832509866474e-09
SMG8,2,5.0e-08,163.509045705,False,IVW,-0.014416496629713772,0.0021654640950357494,-0.01866080625598384,-0.010172187003443703,2.7859492490733828e-11,0.2589010810086758,0.6108761338761886,rs12150181,5.446039143835686e-09
CCDC77,1,5.0e-08,4784.41973025,False,Wald Ratio,-0.004548183704744777,0.0006860110005634512,-0.005892765265849142,-0.0032036021436404128,3.359157396687351e-11,0.0,1.0,rs61907026,6.490204570157794e-09
KDM5A,1,5.0e-08,1794.8101710400001,False,Wald Ratio,-0.007085867288649568,0.001069397631274486,-0.00918188664594756,-0.004989847931351575,3.448219487722781e-11,0.0,1.0,rs579526,6.5108653418183785e-09
RP11-283I3.6,1,5.0e-08,632.2408513599999,False,Wald Ratio,-0.005113473413842084,0.0007717243540684411,-0.006626053147816229,-0.0036008936798679397,3.448219487722781e-11,0.0,1.0,rs579526,6.5108653418183785e-09
MAFF,1,5.0e-08,272.47774761000005,False,Wald Ratio,0.017442113943695863,0.002649176855805171,0.012249727306317727,0.022634500581074,4.580336110393546e-11,0.0,1.0,rs4820323,8.551333124752715e-09
KLHDC7A,1,5.0e-08,172.57025955999998,False,Wald Ratio,-0.021447678358276715,0.0032586357025447548,-0.027834604335264433,-0.015060752381288997,4.6479708970537104e-11,0.0,1.0,rs2992756,8.581187158382716e-09
MBD5,2,5.0e-08,110.09727912499999,False,IVW,-0.01899714004641452,0.002915116951742035,-0.02471076927182891,-0.01328351082100013,7.183853512060523e-11,0.4725206294198281,0.49182984098854654,rs12105745,1.311724285235139e-08
ACVR2A,2,5.0e-08,421.72616488,False,IVW,-0.009694677786112337,0.0014987179845218732,-0.012632165035775208,-0.006757190536449466,9.888423413428882e-11,0.6219167431587851,0.43033590285550116,rs11886876,1.7859352547558077e-08
SH2B1,1,5.0e-08,51.884649610000004,False,Wald Ratio,-0.038591354935908186,0.005971091711152226,-0.05029469468976655,-0.02688801518204982,1.026256857272756e-10,0.0,1.0,rs12325278,1.833578918327324e-08
SCAND2P,2,5.0e-08,635.0114755399999,False,IVW,0.007066405179596523,0.001114428260517103,0.0048821257889830015,0.009250684570210044,2.2852386649674372e-10,0.0010980221877346667,0.9735658014441136,rs7169629,4.039524006074355e-08
GLT8D1,2,5.0e-08,134.803600165,False,IVW,-0.015219799646980668,0.0024063970468766794,-0.01993633785885896,-0.010503261435102376,2.5368396272540394e-10,0.1729898796073907,0.677468162920602,rs6445535,4.437066025942434e-08
FAM175B,1,5.0e-08,30.334759289999997,False,Wald Ratio,-0.04728805007720622,0.0074832419811084435,-0.06195520436017877,-0.03262089579423367,2.6293278665434627e-10,0.0,1.0,rs11245362,4.550928315675643e-08
SUPT7L,1,5.0e-08,94.59507600000002,False,Wald Ratio,-0.028099357210028597,0.004471244767232423,-0.03686299695380414,-0.01933571746625305,3.2899594160085144e-10,0.0,1.0,rs8731,5.6356665625152034e-08
GPX1,2,5.0e-08,104.60947481000001,False,IVW,-0.018249037686404946,0.002920364597370707,-0.02397295229725153,-0.01252512307555836,4.1337933076590616e-10,0.9749133530072065,0.3234578521982817,rs11130203,7.008888734700303e-08
QARS,2,1.0e-05 (relaxed),21.281702600000003,False,IVW,-0.040047863155929064,0.00642733324768404,-0.05264543632138978,-0.027450289990468345,4.6385872920495785e-10,0.0084853347574387,0.9266059742276523,rs67060340,7.785329943908666e-08
CSNK2B,1,5.0e-08,204.03836964,False,Wald Ratio,-0.012586339646710876,0.002028759576195577,-0.016562708416054207,-0.008609970877367545,5.506040068326001e-10,0.0,1.0,rs1144708,9.148836177530484e-08
LINC00843,2,5.0e-08,46.22281202500001,False,IVW,-0.013901476172145943,0.002241608704487567,-0.018295029232941573,-0.009507923111350312,5.590536922284173e-10,0.8486580574870607,0.35693224415818814,rs2002273,9.1972635149182e-08
ERP29,3,5.0e-08,174.66495409666666,False,IVW,-0.011360372754955144,0.0018511546550163346,-0.01498863587878716,-0.007732109631123129,8.414109409216053e-10,0.2790753707244399,0.8697602453568891,rs11066119,1.3706749210150385e-07
PRKAR2A-AS1,2,5.0e-08,41.48543529999999,False,IVW,-0.012476645323173509,0.002059913755836169,-0.0165140762846124,-0.008439214361734618,1.3878918014853525e-09,0.1068783996561399,0.7437264118176472,rs55761431,2.2389524440272443e-07
MAPKAPK5,3,5.0e-08,507.68618180333334,False,IVW,0.006879135774268127,0.0011365206198763838,0.004651555359310415,0.009106716189225839,1.4234662337742066e-09,1.4267686683100038,0.48998312161470725,rs79271898,2.27426105196079e-07
RP4-680D5.2,1,5.0e-08,303.13247448999994,False,Wald Ratio,-0.005492962379990542,0.0009142595545318877,-0.007284911106873042,-0.003701013653108042,1.8771062482159095e-09,0.0,1.0,rs3980014,2.970475944795767e-07
CENPE,1,5.0e-08,60.036152890000004,False,Wald Ratio,0.034088072532813506,0.005679139074398833,0.022956959946991793,0.04521918511863522,1.945046790297056e-09,0.0,1.0,rs17033423,3.0489525912807434e-07
MANBA,2,5.0e-08,449.266358285,False,IVW,0.009816314889595869,0.0016393091212136579,0.006603269012017099,0.013029360767174638,2.1233204083870305e-09,0.05919083388757286,0.8077794614077466,rs223364,3.29729830894943e-07
DUOX1,1,5.0e-08,213.09284528999999,False,Wald Ratio,0.01793965630314796,0.003004767347955213,0.012050312301155743,0.023829000305140177,2.366758344862774e-09,0.0,1.0,rs1648306,3.613960429916704e-07
P4HA2,2,5.0e-08,89.54775726500002,False,IVW,-0.017607027174743217,0.0029491896548052275,-0.023387438898161462,-0.011826615451324973,2.3707371621384254e-09,0.1708641040738934,0.6793449901645022,rs11955347,3.613960429916704e-07
RP11-128A6.2,1,5.0e-08,67.38932281,False,Wald Ratio,0.012557579189817173,0.0021104109680179207,0.00842117369250205,0.016693984687132297,2.6765081262425383e-09,0.0,1.0,rs1874327,4.028217877139018e-07
SPCS1,3,5.0e-08,232.22653597999997,False,IVW,0.009167259950411526,0.0015408666395502844,0.006147161336892968,0.012187358563930084,2.6909736661195893e-09,0.9748830522532093,0.614195789580571,rs2289247,4.028217877139018e-07
