GeneSymbol,N_SNPs,Threshold_Used,Mean_F_stat,Is_Weak_Instrument,MR_Method,MR_Beta,MR_SE,MR_CI_Lower,MR_CI_Upper,MR_Pvalue,Cochran_Q,Cochran_Q_Pval,Top_Instrument_SNP,MR_FDR,Gene Name,Matrisome Division,Matrisome Category,logFC,Direction,P.Value,adj.P.Val,FDR_Significant (<0.05),Probe ID
P4HA2,2,5.0e-08,89.54775726500002,False,IVW,-0.0176070271747432,0.0029491896548052,-0.0233874388981614,-0.0118266154513249,2.370737162138425e-09,0.1708641040738934,0.6793449901645022,rs11955347,3.613960429916704e-07,"prolyl 4-hydroxylase, alpha polypeptide II",Matrisome-associated,ECM Regulators,1.21846333,UP,0.0387,0.8471,NO,202733_PM_at
BMP6,1,5.0e-08,230.51134276,False,Wald Ratio,-0.0101982564290781,0.0029200703314829,-0.0159215942787848,-0.0044749185793714,0.0004785763337153,0.0,1.0,rs9406052,0.0129079640034145,bone morphogenetic protein 6,Matrisome-associated,Secreted Factors,-1.48332,DOWN,0.0352,0.82955,NO,206176_PM_at
IGFBP3,3,5.0e-08,414.17749500666673,False,IVW,0.0040706713216718,0.0012451506514293,0.0016301760448703,0.0065111665984732,0.0010784444275606,1.487032959909984,0.4754391004535087,rs1525828,0.0233935151545013,insulin-like growth factor binding protein 3,Core matrisome,ECM Glycoproteins,-1.07637167,DOWN,0.0269,0.77873,NO,210095_PM_s_at
WNT11,1,5.0e-08,378.47367936,False,Wald Ratio,0.006022305331303,0.002147382015276,0.0018134365813619,0.010231174081244,0.0050396691824359,0.0,1.0,rs17749202,0.0733910106357189,"wingless-type MMTV integration site family, member 11",Matrisome-associated,Secreted Factors,-1.99553833,DOWN,0.000199,0.07219,NO,206737_PM_at
CRHBP,1,1.0e-05 (relaxed),21.26500996,False,Wald Ratio,-0.024695919514165,0.0091802131189786,-0.0426891372273632,-0.0067027018009668,0.0071425289922131,0.0,1.0,rs406171,0.0925961308105695,corticotropin releasing hormone binding protein,Matrisome-associated,Secreted Factors,-1.3207815,DOWN,0.00457,0.37593,NO,205984_PM_at
AMH,1,5.0e-08,792.2704972900001,False,Wald Ratio,0.0033297046347184,0.0014211810390993,0.0005441897980836,0.0061152194713531,0.0191338043950395,0.0,1.0,rs4807216,0.1777249552144122,anti-Mullerian hormone,Matrisome-associated,Secreted Factors,-0.602321,DOWN,0.0475,0.88813,NO,206516_PM_at
COL4A2,1,5.0e-08,48.86709025000001,False,Wald Ratio,0.0152935806111948,0.0067193388627133,0.0021236764402767,0.028463484782113,0.0228427553988259,0.0,1.0,rs9559794,0.197980526631214,"collagen, type IV, alpha 2",Core matrisome,Collagens,-0.90801,DOWN,0.0286,0.78879,NO,211964_PM_at
ADAMTS1,1,5.0e-08,874.1720089600003,False,Wald Ratio,0.0034935920182081,0.0015350305852311,0.0004849320711551,0.0065022519652612,0.0228513750525649,0.0,1.0,rs462404,0.197980526631214,"ADAM metallopeptidase with thrombospondin type 1 motif, 1",Matrisome-associated,ECM Regulators,1.67115167,UP,0.0453,0.87677,NO,222486_PM_s_at
LTBP4,1,5.0e-08,900.8642073599996,False,Wald Ratio,0.0032701560974739,0.0014840411781332,0.0003614353883326,0.0061788768066151,0.027556141685737,0.0,1.0,rs2303728,0.2236799463850546,latent transforming growth factor beta binding protein 4,Core matrisome,ECM Glycoproteins,-0.81071,DOWN,0.021,0.71493,NO,227989_PM_at
FGL2,2,5.0e-08,172.90137856999996,False,IVW,0.0050588494972083,0.0023219725636562,0.0005077832724421,0.0096099157219745,0.0293549903112044,0.3779921253156534,0.5386797805524051,rs66471312,0.231711903524958,fibrinogen-like 2,Core matrisome,ECM Glycoproteins,-1.46849833,DOWN,0.00684,0.46254,NO,227265_PM_at
ADAM28,1,5.0e-08,572.87465104,False,Wald Ratio,-0.0040449411748323,0.0018778239042804,-0.0077254760272219,-0.0003644063224427,0.0312356416233741,0.0,1.0,rs892587,0.240617256010192,ADAM metallopeptidase domain 28,Matrisome-associated,ECM Regulators,0.61917133,UP,0.024,0.74981,NO,208269_PM_s_at
TNC,1,1.0e-05 (relaxed),20.392449639999995,False,Wald Ratio,-0.0180269256915365,0.0091654650298537,-0.0359912371500498,-6.261423302326291e-05,0.0492026352406946,0.0,1.0,rs7872878,0.3129980808420302,tenascin C,Core matrisome,ECM Glycoproteins,3.391885,UP,0.00371,0.34902,NO,201645_PM_at
CRISPLD2,1,5.0e-08,3785.00570176,False,Wald Ratio,-0.0014289235897875,0.0007414363728642,-0.0028821388806015,2.4291701026388484e-05,0.0539501043957131,0.0,1.0,rs8057431,0.3255115687695139,cysteine-rich secretory protein LCCL domain containing 2,Core matrisome,ECM Glycoproteins,2.78338833,UP,0.00654,0.45545,NO,221541_PM_at
SPON2,1,5.0e-08,411.06751504,False,Wald Ratio,0.0040816819941551,0.002118259195775,-7.010602956395925e-05,0.0082334700178741,0.0539916021755888,0.0,1.0,rs73067776,0.3255115687695139,"spondin 2, extracellular matrix protein",Core matrisome,ECM Glycoproteins,1.45533,UP,0.0305,0.80209,NO,218638_PM_s_at
FBLN5,3,5.0e-08,1966.8258707366665,False,IVW,-0.001330103151499,0.0007244652454247,-0.0027500550325316,8.984872953351564e-05,0.0663607268894264,0.1428161304526415,0.9310818724614508,rs11160031,0.3644289332077469,fibulin 5,Core matrisome,ECM Glycoproteins,-1.481305,DOWN,0.00948,0.52984,NO,203088_PM_at
